2massj,2massh,2massks
29.72886537178794,26.006238754483885,40.70259772828467
25.26660809439314,23.08510050659023,32.02038357791897
21.562100222292095,20.164927077739883,23.611243475490877
20.69019068736791,19.114612539199328,22.018854252365863
20.25139125353043,18.371611438076286,20.903442643650322
19.793840177751648,18.22320818460194,20.176548764989608
19.702319365188437,18.108114707336213,19.512798742689878
19.38582871863157,18.107657671478922,19.149571662905426
19.20376204060438,18.11744763709367,18.85142356915158
19.119833480739608,18.19756087418713,18.41741159468871
19.043495905536567,18.284483715238004,18.11859126193759
18.867337704015455,18.38154190885868,18.171501934741208
18.855458217832073,18.481003211959163,18.33619498163658
18.721883842805795,18.45254640447721,18.35601089755209
18.721763424293176,18.40875388208472,18.429713200839696
18.794035656754026,18.429374297404877,18.481142184932565
18.89857030398681,18.459969065877587,18.555303595426302
18.883842818588207,18.474459333783514,18.603798381044577
18.84693247258619,18.488636641452487,18.687347162848923
18.92511601329165,18.51118983755186,18.720823766789692
19.026932647664783,18.537484331884155,18.771387302520473
19.074997427532672,18.56838292364766,18.81760816635011
19.110593614429163,18.602269518313577,18.892672534644603
19.198624738235228,18.642512684881336,18.899213364393518
19.300278313838362,18.684277828770934,18.934312058877104
19.37024437438847,18.7273334526979,18.966675198552768
19.43105543005079,18.77076191592861,19.013888776473223
19.49884315481674,18.80933898753571,19.011871086550734
19.568859304696822,18.84665869362778,19.017051827998557
19.601943551955184,18.88511756361241,19.02273091051945
19.622050486013187,18.924047381885053,19.04988227663855
19.71188682572508,18.967357922275774,19.05421300098297
19.828565286707885,19.012662083564095,19.086293501553577
19.853070070524588,19.05491528290661,19.10213241020461
19.876262341932843,19.096617086831635,19.10654150733587
19.93538737880801,19.138935601526008,19.122539708104924
20.003440697911756,19.181378691850938,19.174860795600914
20.070052867158548,19.229621263970365,19.197473668477897
20.13942899776832,19.282056204724835,19.200549366160068
20.164355484604066,19.32561530822654,19.220163120428712
20.179307328150507,19.364919334956767,19.250513685011768
20.225948173684905,19.40443769347661,19.246114944118318
20.2973552994524,19.44392181791511,19.25600301990019
20.35883209284843,19.48808225794878,19.276718034110893
20.432845727377558,19.535426781353344,19.290837333849893
20.478255822906302,19.5813529155345,19.302629176780854
20.52704864911886,19.62647774614932,19.312846772839436
20.58401223736182,19.667162070733188,19.31762514709642
20.63012209929147,19.705049039340583,19.34066592734468
20.672009878257214,19.74502030206665,19.372626402012752
20.71058916292167,19.786369205561364,19.419943032391203
20.74746180369009,19.828391664845444,19.45473518582113
20.787403613666818,19.870919574100025,19.464238001449786
20.82155966993037,19.91258111877684,19.490827342381078
20.857800918661937,19.95345816203269,19.53288869558446
20.911783698081905,19.991000080064843,19.56937991474431
20.979389831264562,20.025297172206074,19.600451812604923
21.035707208217595,20.06317644423313,19.624252323759578
21.073576920105666,20.105085949804725,19.643721753263897
21.10838300453714,20.143728776015486,19.66510430191183
21.149014021116834,20.17862992832323,19.690093189690757
21.189471545328235,20.21480062147385,19.72075754269349
21.220445529196038,20.252117133311422,19.753106975374358
21.249784817798602,20.288169987038522,19.79257413353703
21.27450699856354,20.322844970385177,19.837259023873887
21.322710974384005,20.358124890732434,19.87182289404968
21.39694858764443,20.394007521756684,19.892248399293578
21.45927242229591,20.43045320745884,19.916371972753307
21.503670975499034,20.467197531507118,19.94618045531284
21.532618332547337,20.503584198315167,19.977794654700723
21.540821678833908,20.539390615571264,20.0120320958601
21.565049279422773,20.573370023532505,20.046757436126093
21.608697436698037,20.604309071985575,20.082337460365977
21.658095260542805,20.635803709062273,20.11364340744568
21.7041856994556,20.66808171833955,20.139456609438163
21.743247736535473,20.702863727756018,20.17437288682342
21.767879941191634,20.741639711370006,20.217433491041575
21.800525368111405,20.779258604311714,20.257735750857194
21.85103953998179,20.814352856603264,20.291887157621005
21.9040544582434,20.85025274729973,20.329710624927223
21.963142399772032,20.88784747164683,20.376451633488394
22.002419427793825,20.923865576958022,20.414032409053785
21.992210760386655,20.95534906942726,20.427310374454517
21.99105709629803,20.986549957761092,20.44947521913643
21.99349654999756,21.01692870564687,20.49749341130518
22.01571149036124,21.047271522901724,20.540871210013044
22.080908608636946,21.07749922379987,20.569381883510772
22.13197183514718,21.108713746341724,20.59879689871226
22.132907888990623,21.14342812439019,20.63141924657809
22.1550327042306,21.177956039597703,20.66475525393191
22.260857087962364,21.211747391726526,20.700910349673027
22.34406421544396,21.245077131301432,20.735556356362153
22.327022329496693,21.27636081353834,20.76351345759941
22.314837025975777,21.30809754935853,20.7908980638467
22.327025605139596,21.342108039419728,20.81628553883416
22.34266364627085,21.375908315197123,20.848292909465012
22.37812548674956,21.408500505243623,20.89212412220534
22.40734605030772,21.440604948475947,20.936705304995314
22.394902489588038,21.46945340032373,20.95426707737422
22.388191600287534,21.499055000448195,20.972459419366096
22.426772668960098,21.534606978258832,20.995633685197962
22.464982150335366,21.56935277418397,21.019650897640307
22.499627695102802,21.59636638670237,21.05175290820518
22.53535973127979,21.623592636841142,21.083517816939967
22.58421029216685,21.653386318118834,21.111212487613997
22.62941159613033,21.682845060592705,21.13945824805883
22.61593939502368,21.706918587934968,21.176564543439312
22.60453125430567,21.731138568519196,21.21194653818372
22.641870624123463,21.75881737763136,21.20660522663013
22.678239248134158,21.7865939083768,21.202242322447102
