log10_Xlan log10_mej log10_vej luminosity_distance timeshift Ebv log_likelihood log_prior
-3.255643813700244 -1.2549633733033376 -0.7060550372901646 49.292857210075645 0.0 0.0 -176.44694005122938 -10.143750915722846
-3.2650810593658868 -1.7452847554035724 -0.7166447068058341 29.767638330837695 0.0 0.0 -176.20258356675487 -9.639393570722792
-3.1215429949676086 -2.173209599776504 -0.7166565178369106 12.555225084497541 0.0 0.0 -176.16458048072073 -8.776108649673883
-3.179904784192111 -1.6584806624971131 -0.6857985513788021 22.02461386880404 0.0 0.0 -175.87882792540654 -9.338132369520613
-3.490846849358852 -2.0336848634213984 -0.7129310105545259 18.345898654325843 0.0 0.0 -175.19429153845803 -9.155377772290906
-3.14666363472897 -1.2375876108963881 -0.6926390519676942 49.46053209615469 0.0 0.0 -175.14426424703166 -10.147146749493984
-3.4906097003489744 -2.061724607430339 -0.7075099533054534 16.535489602462487 0.0 0.0 -175.0099976702687 -9.05148068541056
-3.466795422141665 -1.8318678189386777 -0.7019184067304911 25.900554978125367 0.0 0.0 -174.9055812321153 -9.500236125550662
-3.2635339847660907 -1.985671608730613 -0.7067120455847131 16.2830807080343 0.0 0.0 -174.668553769578 -9.036098304700282
-2.97225950495573 -1.6779695587691035 -0.6899537912377345 23.09799748626287 0.0 0.0 -174.42949876532384 -9.385717654211572
-3.4813708041549143 -1.8794450801443845 -0.694570492187123 20.881649104164726 0.0 0.0 -174.30640764843614 -9.284842469328085
-3.138126627281066 -1.8518176487278741 -0.6900694993588334 21.5549709185291 0.0 0.0 -174.12129863055043 -9.316578188370904
-3.3184301423728844 -1.7195497510684437 -0.7181713691465224 29.76375859900335 0.0 0.0 -174.04791004329675 -9.63926322834751
-3.5370438122570347 -1.5985623737522943 -0.7074186715544422 33.0821953993394 0.0 0.0 -174.01330711171252 -9.744966963665785
-3.413545007166853 -1.828426131514175 -0.7202500505381622 25.044956672323227 0.0 0.0 -173.94235330973845 -9.466644206162893
-3.1447015042185953 -1.4249336943462065 -0.685199884196406 31.918346833843902 0.0 0.0 -173.63725880274185 -9.709152709668627
-3.0619655964301202 -1.5679521773523888 -0.6903174482431589 30.127728718696336 0.0 0.0 -173.58754830953612 -9.65141769693034
-3.201771613014926 -1.8432757237256605 -0.719521869242334 24.361440611304868 0.0 0.0 -173.4026366072046 -9.438973308836093
-3.3534277929202165 -2.1086652032347932 -0.7159282729961283 16.07913816122611 0.0 0.0 -173.28017334908748 -9.02349439472367
-3.4193578134997757 -1.8628630335901613 -0.6922805191122554 20.752849198949217 0.0 0.0 -173.10811892539454 -9.278655277391069
-3.3745411698758607 -1.8631155614809112 -0.7107161784217793 20.704241518732196 0.0 0.0 -173.05304427348946 -9.27631031291578
-3.21819943662683 -1.7760826424002625 -0.688286012155598 23.725923567493474 0.0 0.0 -173.0362169538291 -9.412540001115438
-3.4014207155137512 -1.6929548046810874 -0.7182035330917302 28.821735481821854 0.0 0.0 -173.0174497493803 -9.607101536073689
-3.398968571728801 -1.9490421817550763 -0.6947854963741469 19.73095799536158 0.0 0.0 -173.01393531576718 -9.228160603467792
-3.0895589268448003 -2.049628224148487 -0.7064851980224773 15.089234252791707 0.0 0.0 -172.9407211445295 -8.959953255498228
