KNphi log10_mej_dyn log10_mej_wind inclination_EM luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
33.49894356856884 -2.3346002103769754 -1.105957203886981 1.3965989773146812 40.0 0.0 0.1 0.0 -256.1555876120394 -6.412179373682613
33.89712434190126 -2.252266107417256 -1.0638015958581581 1.3692584339989928 40.0 0.0 0.1 0.0 -256.138596246096 -6.417377405978241
34.607086323880154 -2.3274448514259114 -1.054153686734756 1.4346678060058753 40.0 0.0 0.1 0.0 -255.76008119157171 -6.406223900930231
36.69789711987592 -2.3263287121408913 -1.0797137943597896 1.3617777145206988 40.0 0.0 0.1 0.0 -255.6826290746532 -6.418934982504892
32.3818627771237 -2.242208821586969 -1.0291217066676857 1.4353202894184176 40.0 0.0 0.1 0.0 -255.67735686346853 -6.406134743428913
34.999329957926825 -2.301899109188436 -1.0425884492057675 1.5094476364905438 40.0 0.0 0.1 0.0 -255.63668106271882 -6.398812667732441
36.07890614155353 -2.3160261594251383 -1.0614793885290803 1.3812646836290683 40.0 0.0 0.1 0.0 -255.44376872889524 -6.414999352525068
31.90733284363621 -2.216705871966659 -1.0392099463625468 1.5118354428365544 40.0 0.0 0.1 0.0 -255.28919654396114 -6.398668856174204
33.94976470601719 -2.3229914921215804 -1.1045607484354198 1.3799078295714502 40.0 0.0 0.1 0.0 -254.85438331228963 -6.415260598107676
34.201398266042986 -2.244178671830371 -1.0634757979426575 1.391687368183431 40.0 0.0 0.1 0.0 -254.6264650293278 -6.413056166252749
32.42631021477142 -2.2358026270333013 -1.0180906242243424 1.471141424958706 40.0 0.0 0.1 0.0 -254.47212740985753 -6.401903445672719
33.489110743583154 -2.2912591775954327 -1.031739340804799 1.474418974525585 40.0 0.0 0.1 0.0 -254.4449505441897 -6.401581159922238
32.550447049022026 -2.292265342449312 -1.0415169595276506 1.4893104996858635 40.0 0.0 0.1 0.0 -254.3331318075992 -6.400253305811554
34.75687286280076 -2.3206322324810973 -1.0530836014238116 1.450252531099749 40.0 0.0 0.1 0.0 -254.18343444950335 -6.404212722400464
31.411549681493668 -2.268806931666863 -1.026093087720679 1.5502165537460348 40.0 0.0 0.1 0.0 -254.08812716576222 -6.397141433695137
34.26324232934409 -2.243972906850132 -1.0488880929908864 1.4996638233685446 40.0 0.0 0.1 0.0 -254.07301729709016 -6.399461708113659
32.377272949263784 -2.2345880043205826 -1.0243028802444651 1.456258559425711 40.0 0.0 0.1 0.0 -254.0500020469637 -6.403503497796336
36.408076329770196 -2.306893320492967 -1.068596468476112 1.393056468954345 40.0 0.0 0.1 0.0 -254.04200943330784 -6.412809259526732
34.8078435649206 -2.359384969387098 -1.1020817737844777 1.3790917357606205 40.0 0.0 0.1 0.0 -254.02977193475985 -6.415418646657746
32.79634575948185 -2.2585298468166863 -1.0108572503397002 1.54557243026464 40.0 0.0 0.1 0.0 -254.00912161359747 -6.3972478114339255
33.82695478825088 -2.3521038366762177 -1.0914723398461394 1.379583632168975 40.0 0.0 0.1 0.0 -254.00532223872298 -6.415323300969766
32.67348039249891 -2.22254820782946 -1.0046013824920235 1.5576293714657325 40.0 0.0 0.1 0.0 -253.89443180586125 -6.397016342077308
34.115556114258304 -2.2619525485123417 -1.0170088416746599 1.5115691599564798 40.0 0.0 0.1 0.0 -253.88178407513666 -6.398684610244128
34.354865508290814 -2.289988495202742 -1.0324713746987868 1.4677233513878563 40.0 0.0 0.1 0.0 -253.8798267505493 -6.402251106928587
32.34404603876102 -2.286696385483956 -1.043622394577305 1.480737283378964 40.0 0.0 0.1 0.0 -253.86524558164217 -6.400990464613949
34.57805792385281 -2.3102131535859076 -1.0691606136080423 1.3604928578962179 40.0 0.0 0.1 0.0 -253.82185687217734 -6.419208384759174
32.904876851703335 -2.299802527116395 -1.0885824376905737 1.3969309294055334 40.0 0.0 0.1 0.0 -253.81562931508725 -6.412121013224542
33.33702044416208 -2.3049134840113368 -1.0569261800450387 1.4059775994484254 40.0 0.0 0.1 0.0 -253.7152236867618 -6.410574206575694
35.84399699385773 -2.3258389812944427 -1.0695421966843957 1.4224229691385375 40.0 0.0 0.1 0.0 -253.70206890181535 -6.407977607618367
33.385581079506395 -2.300588129652424 -1.040308911491267 1.5050078954858097 40.0 0.0 0.1 0.0 -253.69206763303006 -6.399095276917512
34.84223084421722 -2.346007453470323 -1.083864094600908 1.3662863293726375 40.0 0.0 0.1 0.0 -253.63802879407598 -6.417989244438755
35.27979243390918 -2.2675347629053526 -1.035133690758097 1.4908361983088732 40.0 0.0 0.1 0.0 -253.6271799131536 -6.400129878642898
35.92183194825499 -2.2751803551037595 -1.0671971224360848 1.3936730609567842 40.0 0.0 0.1 0.0 -253.61763443887722 -6.412698693924718
30.941142590467635 -2.248849949936185 -1.018185600959709 1.5695398264597566 40.0 0.0 0.1 0.0 -253.5875155264117 -6.3969304446129005
31.190950266084215 -2.259405213316859 -1.0217646675037897 1.5584079534212818 40.0 0.0 0.1 0.0 -253.58326645114855 -6.397006393076448
36.12888701655825 -2.324328664055977 -1.0900664274447964 1.3423471742858246 40.0 0.0 0.1 0.0 -253.58149893863842 -6.423254347026973
33.91048540531983 -2.304858053146684 -1.091624792730351 1.4106789599182132 40.0 0.0 0.1 0.0 -253.58135286013018 -6.409803591968378
35.00694921603719 -2.28818706506793 -1.0423296351909515 1.5131833175436034 40.0 0.0 0.1 0.0 -253.53565843535694 -6.398590203570392
32.408923671836234 -2.2837372316390554 -1.0509758229621307 1.5279845512926866 40.0 0.0 0.1 0.0 -253.41118019205834 -6.397846359358227
34.97075970246766 -2.311307765287646 -1.0994329554396156 1.354597543391121 40.0 0.0 0.1 0.0 -253.39430440277792 -6.4204849814744955
32.33755281684719 -2.262376357317092 -1.0635897596029782 1.4452662561121314 40.0 0.0 0.1 0.0 -253.359729508441 -6.404829334259454
32.02629849427595 -2.2657753006638153 -1.0509096283572186 1.5540693447610852 40.0 0.0 0.1 0.0 -253.31926054676998 -6.397069557704239
34.54012535318189 -2.262605770326398 -1.0563722181836217 1.481790555212677 40.0 0.0 0.1 0.0 -253.29294595702908 -6.400895909855062
33.32701936697618 -2.2956026904083724 -1.0602006191881448 1.5015741364871538 40.0 0.0 0.1 0.0 -253.28938223382184 -6.3993274268551295
