log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind inclination_EM luminosity_distance em_syserr timeshift Ebv log_likelihood log_prior
-2.693797123662452 0.16345599815090173 0.2889929536464034 -0.9430283955435861 0.031061104817540913 0.3876494057313231 78.58055681547977 0.5089033620046901 0.0 0.0 -22.694455325642256 -3.1580121789801376
-1.815412202435863 0.16237223785377358 0.2965359716006116 -0.9649487587555556 0.03405195218712982 0.36360015033215576 105.4970502906407 0.48612616395665037 0.0 0.0 -22.45718197344423 -3.4677875752022667
-2.024948154403359 0.21283359690639564 0.29294266954354653 -0.9420147107757357 0.031840484044750386 0.4090642341474577 87.55163660166518 0.4815872438594038 0.0 0.0 -22.08468727580216 -3.160049188366207
-2.275831330349836 0.2101311805804159 0.2912228630156421 -0.8944817106483371 0.03080417222498186 0.3721450185093865 83.39132946150428 0.5303312935548686 0.0 0.0 -21.08817347682414 -3.297511177797219
-1.822790947347881 0.17342213360318035 0.2840014743079898 -0.893534400093976 0.03259591893720971 0.3387135339626617 112.27541320269867 0.324246633006347 0.0 0.0 -20.802864462322763 -3.193058493253801
-1.969700251909203 0.22116468257637997 0.28556417575589066 -0.9411046199965305 0.030405481126828445 0.37072969491334223 88.03016183151216 0.47417755500622427 0.0 0.0 -20.754881305701986 -3.2433598208645975
-1.9211299315741717 0.1734725200388349 0.2892168439527285 -1.0334647626036841 0.03084774153301309 0.34156149443137906 89.27161009009399 0.499010425363484 0.0 0.0 -20.65471591321127 -3.386862065008133
-2.355499782606789 0.2274388678749163 0.29524907827810976 -0.9419549422782205 0.03149787875503999 0.4073085864301813 77.43794667943956 0.42494026077601876 0.0 0.0 -20.36463262554421 -2.916218079872312
-1.7231915404843645 0.20365150073290103 0.28829505135196615 -0.9451704653717681 0.03249423097580956 0.33414233083606526 115.00091860447256 0.4614729897998248 0.0 0.0 -20.3474787878873 -3.5830339341792765
-1.8849359442546767 0.19029320622612858 0.2931276583872834 -0.9309712801287986 0.031217845668787138 0.3362477180941686 110.83706267220202 0.5299794710209197 0.0 0.0 -20.200184558177448 -3.6785257010689216
-1.9190321439527571 0.2035262757147766 0.2860863619064842 -0.9698964490341029 0.03003494066845395 0.3888898148619308 102.12231795400149 0.5103884993506395 0.0 0.0 -20.1254609181835 -3.4199406896598497
-1.7609048193875172 0.20651197762061632 0.27040334991892967 -0.9235083515261333 0.03126602152842368 0.34751273348713413 102.74526262299679 0.41786865504157256 0.0 0.0 -20.03202911892942 -3.3333868352125995
-1.863286688896756 0.16439905544169423 0.2792957010574699 -0.9678848727056346 0.031132360716079974 0.3572014301056331 98.46131396531072 0.36505087348144877 0.0 0.0 -19.984338692219037 -3.1293163193441336
-2.0537262661945066 0.21763471081844626 0.2926702524281348 -0.988889225935295 0.030759936789799637 0.3489502564881305 94.32246371765909 0.47652973238646823 0.0 0.0 -19.92337089724995 -3.375256578654151
-1.9981122251711743 0.18535730437000492 0.28308043621577894 -0.9344462432577967 0.030799047060215645 0.3303725333715846 96.4463188950869 0.5116865442001229 0.0 0.0 -19.89562926356959 -3.521294600350365
-1.7335989543726535 0.17393727376730658 0.28404796412840055 -0.9347075060486516 0.03271631128979272 0.33400482828091227 107.84166440690773 0.3781395459566218 0.0 0.0 -19.791603430988648 -3.3199938369945183
-2.1471001603562243 0.15420061013323816 0.28635592897449025 -0.9796479651230399 0.030748558607970385 0.37265562825185183 82.15935883355344 0.37143071035902536 0.0 0.0 -19.74390719599138 -2.9251808850792997
-2.108975213024116 0.2200726780527973 0.29882331559723185 -0.9645125799315006 0.030602507354728834 0.3934779831617429 84.25905730211176 0.5057008672217062 0.0 0.0 -19.394912718747555 -3.2073139942228623
-1.9044867474455527 0.18498181663848776 0.2973904985413386 -0.9553632147613615 0.030168020536817143 0.385474238868441 103.97185731361947 0.5611388118783405 0.0 0.0 -19.379406810140843 -3.5410621709155414
-1.8744597223811899 0.16487746846905593 0.29950090347570846 -1.0636575614470032 0.0302339409783773 0.39239477007537743 88.81488076038652 0.47495885936977755 0.0 0.0 -19.306198091498697 -3.199868358527139
-2.153837209709623 0.1472772361456191 0.2939361269738675 -1.0158205499733866 0.030538134993528965 0.4045792308274468 85.67221255670788 0.4100952587141906 0.0 0.0 -19.23192250435629 -2.988060620294114
-2.035536616010029 0.1757271997033464 0.2796760419219223 -0.8983548000699364 0.03048719980977905 0.4031014223475709 93.3451594588829 0.4750014390698376 0.0 0.0 -19.192008682580354 -3.2242227279534865
-1.9004006562124942 0.2419013746526671 0.2952643405167168 -0.9687195472240615 0.032345894394866515 0.399086216698937 97.56941941370064 0.48818615292654544 0.0 0.0 -19.184361655009997 -3.305329843132564
-1.7021899207255327 0.208901626914484 0.2999913362722789 -0.9685007339781027 0.030626822149919256 0.3386184429068734 118.92339578037371 0.5577651806821446 0.0 0.0 -19.072685765693258 -3.793286721913428
-1.823123969453966 0.2494657286601071 0.2940836677930061 -1.0570159179003236 0.03133328376901192 0.3958884658671115 93.25412873261875 0.38744796350597704 0.0 0.0 -18.985503459473943 -3.0365955522300077
-2.9081791680282647 0.22722008234366647 0.2889733838106814 -0.9725919602138751 0.03022208913692088 0.3840686485487362 71.47635213095381 0.45638153090787276 0.0 0.0 -18.855851044491054 -2.963140380420894
-1.7505192227258966 0.176869102338745 0.2781559155490615 -0.9169944611257708 0.03108623832844384 0.3373523414526816 106.08057818117065 0.3761711499543753 0.0 0.0 -18.702846445307802 -3.288714610130234
-1.9302371508481293 0.19271225036013157 0.27692392464714394 -0.9063602175204806 0.030827229953882047 0.3558477295645433 93.73914657855475 0.4315790344106853 0.0 0.0 -18.39045942394401 -3.2512171041736724
-1.9581682264595304 0.24405485597522442 0.2842169868310266 -0.9213303425047059 0.03145217357819066 0.4024057255783135 93.35685372900258 0.3494773338994445 0.0 0.0 -18.386143147385514 -2.9191018003592593
-1.8699786364736621 0.18038518799054606 0.2814129975239162 -0.9366555805817611 0.03099489740004738 0.3806617721010633 104.57034498271038 0.35709382596813954 0.0 0.0 -18.30209857392771 -3.1067746917252697
-2.318097226762531 0.1541824407071954 0.2968157249885849 -1.0115380141919925 0.03062241827969781 0.36526009319519603 77.74578537906633 0.4488190722629106 0.0 0.0 -18.215884900572032 -3.078349131345317
-1.7848788953362063 0.2022517959242523 0.2882832097134398 -0.9266315741168245 0.03146139206783957 0.35364859115948927 108.67839918772813 0.49124669791272396 0.0 0.0 -18.180461697187216 -3.534526974944712
