log10_mej_dyn v_ej_dyn Ye_dyn log10_mej_wind v_ej_wind Ye_wind inclination_EM luminosity_distance timeshift em_syserr redshift Ebv log_likelihood log_prior
-1.4137476589507767 0.24699103641500528 0.31398042962057937 -1.0266185479539431 0.05270437154567154 0.25315596811643526 0.3931986335367975 70.58678377070682 0.0 1.0 0.009727 0.0 -165.96256072912627 3.0403139192609228
-1.392036015454393 0.25198177989683446 0.3404726960854194 -1.0267811862544873 0.05501949508134375 0.2324116284136203 0.4014748855019794 66.75066806014914 0.0 1.0 0.009727 0.0 -164.97269223301183 3.096192541899029
-1.3624502493454327 0.23876450376273056 0.3330210965082876 -1.062311345696307 0.05246522259899458 0.25675547983445235 0.4005145008610733 67.68476237740396 0.0 1.0 0.009727 0.0 -164.71880151700353 3.0822957686022674
-1.3382916947227943 0.2639795632562768 0.321127393199291 -0.9293007278551795 0.0586114328654828 0.2368229046957429 0.4063345346109458 71.33851723522736 0.0 1.0 0.009727 0.0 -164.49227994953955 3.0297204522858783
-1.3178571096218743 0.22629776169042992 0.32948529601627463 -0.9803267711967953 0.05004810286170912 0.25372852669952317 0.4091898030322557 63.59408014294551 0.0 1.0 0.009727 0.0 -164.39217002058467 3.1446364610205775
-1.3548524187243287 0.22059853663928103 0.32043044600714793 -0.8915135879068883 0.05209316665598432 0.23792116917949022 0.3803593339032315 72.4316629448549 0.0 1.0 0.009727 0.0 -164.32180259995403 3.0145133102393293
-1.3674883943498983 0.26121780953866147 0.34650168727612063 -1.0137513191604512 0.05319075870051001 0.256565909714344 0.3718590817035672 75.43758214147724 0.0 1.0 0.009727 0.0 -163.9304219277146 2.9738512597959277
-1.4218726918622073 0.20563462620621337 0.3346838335158354 -0.9508559990277639 0.05188149474590393 0.28883015781430266 0.39086621216784917 73.70642619863885 0.0 1.0 0.009727 0.0 -163.609763906899 2.9970668581155557
-1.405813133695918 0.22948462120398477 0.34807628535866947 -1.0514101039982269 0.050034060620953974 0.22369309212531 0.38083304658921524 66.84820736591456 0.0 1.0 0.009727 0.0 -163.42798246750394 3.0947323601005685
-1.400240200031985 0.20451273383401014 0.3101249400609831 -1.025194230753089 0.050767971258025575 0.2763557206135915 0.40700076622237935 67.27613403276841 0.0 1.0 0.009727 0.0 -163.38811193238908 3.088351294375782
-1.3262364961983457 0.27579709702593375 0.32554021143330264 -0.9750953351468477 0.0574044765170017 0.2548086154227746 0.3946475928303891 77.45328255346192 0.0 1.0 0.009727 0.0 -163.32691552486807 2.9474818986839733
-1.3615101379464967 0.26526683526908734 0.3295654040835858 -1.1884535723711203 0.05414016867146728 0.23588257038032162 0.37119373881649764 57.42245721058975 0.0 1.0 0.009727 0.0 -163.32518004343726 3.2467213801075703
-1.3783962965567396 0.21740745181231075 0.32690588127875775 -0.9212785251453246 0.05201787833450808 0.25954894309845256 0.35300814275923786 72.4475990601769 0.0 1.0 0.009727 0.0 -163.28352937957652 3.0142933185694973
-1.5794413337932212 0.22184033820464558 0.3356681737607863 -1.1607419745919816 0.051521086216034954 0.2512429933262855 0.4162023082647975 58.52243461701417 0.0 1.0 0.009727 0.0 -163.2488815744978 3.2277466690729613
-1.4080262243179216 0.2236811632390001 0.33252943092126563 -0.9126279038761391 0.05135700351018082 0.27492243651087583 0.37056464962165414 75.52288061418028 0.0 1.0 0.009727 0.0 -163.23356811692386 2.9727211826853557
-1.3844419921198405 0.26193661162065185 0.3211060003238091 -1.156424076387108 0.055586971021319716 0.2422763385416003 0.36251488598236825 69.134828922466 0.0 1.0 0.009727 0.0 -163.22690903853913 3.0610982072265855
-1.350791568237722 0.2295317855912451 0.34711740654890955 -1.2758536597174004 0.050195958823701044 0.2504339793980883 0.38617329110567844 56.06669027397462 0.0 1.0 0.009727 0.0 -163.19604180142306 3.270614967592591
