KNphi log10_mej_dyn log10_mej_wind inclination_EM luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
25.77551328232083 -2.114470815842656 -0.9944025895539381 1.5408415067094192 37.964020990126556 0.0 0.25 0.0 -181.01609059493984 -11.860919928714052
25.24790933521297 -2.201074764173546 -1.1122029449635378 1.5431166450825773 32.96333538944555 0.0 0.25 0.0 -180.50578059962717 -11.719611347123621
39.70083726805113 -2.335839779031821 -1.044489341069431 1.1820764997793827 39.33323613823487 0.0 0.25 0.0 -179.8757838295858 -11.973436781662897
28.618048846232632 -2.260231709012348 -0.9980715808876726 1.534446487337541 36.814646435476746 0.0 0.25 0.0 -179.74635402906188 -11.830388888728528
29.627970062171677 -2.137994953799938 -1.018386589447735 1.456736773605098 37.23834850223585 0.0 0.25 0.0 -179.30502466703174 -11.847690368889097
34.31069959509283 -2.2556934657905807 -1.0411976637335312 1.166602321378592 41.78257145815612 0.0 0.25 0.0 -179.13291438744795 -12.040324218018561
31.1154197680885 -2.1813367328882647 -1.0439919114889071 1.4125663889769573 36.035042924441164 0.0 0.25 0.0 -179.01795366720626 -11.820895144834978
30.310171404360865 -2.1272190426637736 -1.0188644777221272 1.3471717590989183 38.86388162758266 0.0 0.25 0.0 -178.99658559563517 -11.909112842452856
37.336662625654164 -2.2165359172866825 -1.046418197034098 1.1193395180998433 42.34803296580846 0.0 0.25 0.0 -178.82889371562405 -12.075323180558826
28.126404071367972 -2.2520201043283485 -1.0542911668556223 1.3140850065367164 38.816006579421455 0.0 0.25 0.0 -178.62112545142253 -11.915983772621727
28.72191201890445 -2.152026713803499 -1.0333989572232674 1.339976301693113 39.3456161747406 0.0 0.25 0.0 -178.023689357392 -11.923095785899836
32.706691483096705 -2.2589282581900316 -1.0149492335185515 1.2024845892041467 42.056607529366175 0.0 0.25 0.0 -177.87897036635454 -12.032266950721532
39.45244816734421 -2.306758685383727 -1.040251648792114 1.0466821425800599 41.75195855879893 0.0 0.25 0.0 -177.84616051881176 -12.099717467263329
36.74812930911544 -2.1970245914883964 -1.0583006250513975 1.2053211207482106 39.20632789262747 0.0 0.25 0.0 -177.7735114179303 -11.960998539474794
27.88210301530011 -2.201163366894601 -1.070288781319094 1.3574127268340508 35.76992821277224 0.0 0.25 0.0 -177.63158672415565 -11.823881042561407
38.994237927092236 -2.326337249603154 -1.059039480923719 1.0307463496520533 42.44811303208725 0.0 0.25 0.0 -177.3889897373189 -12.125635509881107
35.50171725622064 -2.2650900273496557 -1.0579479039089748 1.3109830499982567 36.166942003128135 0.0 0.25 0.0 -177.38784843604554 -11.846115986524609
42.014437850416215 -2.33138200726883 -1.0715792248784415 1.085053987253929 39.47361608474729 0.0 0.25 0.0 -177.3587959100915 -12.022391365122353
28.33383519571987 -2.1832423308900073 -1.111306458036136 1.4645840990339356 33.77811865196642 0.0 0.25 0.0 -177.26665664762916 -11.749296692332138
27.919636010806112 -2.2406197042706397 -1.0041122921877745 1.4978219395689372 38.07396778602449 0.0 0.25 0.0 -177.2522665448545 -11.866028106368974
26.427350043134112 -2.200012728309422 -1.1287964464761886 1.4957247094258928 32.8152723986634 0.0 0.25 0.0 -177.18247970763449 -11.71754687440539
35.39994526245781 -2.2416381248521793 -1.0732075791052347 1.3037999284990252 37.771278591950235 0.0 0.25 0.0 -177.13107390919313 -11.891456563434044
40.52569432206562 -2.252016199341714 -1.0154477120810288 1.1384610960180752 42.40837221845384 0.0 0.25 0.0 -177.0262778294614 -12.067700274631946
39.4719470170839 -2.3148644948646546 -1.0782998114170685 1.0855940186311164 41.40853933466095 0.0 0.25 0.0 -176.91160159826967 -12.069961074129115
31.37043174671285 -2.233902559656279 -1.0879154228710861 1.3621044301867027 34.627708004732106 0.0 0.25 0.0 -176.85669809049185 -11.790422573003651
31.251295460311685 -2.2231331486320256 -1.096583131057693 1.3338285286258817 34.722880551778694 0.0 0.25 0.0 -176.84623022930458 -11.799574814365668
28.68043619833309 -2.237649962390729 -1.1112733702654753 1.4317126559452718 34.422087147271036 0.0 0.25 0.0 -176.47833684697164 -11.772234226341364
