KNphi log10_mej_dyn log10_mej_wind inclination_EM luminosity_distance timeshift Ebv log_likelihood log_prior
27.37203598022461 -2.1872589588165283 -1.249992847442627 1.2779365648136425 40.0 0.0 0.0 -160.03767478430996 -6.217296915308138
64.41994211159034 -2.6779059717784865 -1.1443588107493219 1.1292280169072482 40.0 0.0 0.0 -159.66761741870624 -6.274620714981701
36.78612894659445 -2.732661846778888 -1.1930652768985421 1.536027671485438 40.0 0.0 0.0 -159.5351492945213 -6.174390655415641
38.98616149598611 -2.5091958756733037 -1.2533442347630066 1.3699988006883175 40.0 0.0 0.0 -158.40810347578895 -6.1940828746274335
61.591926012775176 -2.4494528933602533 -1.049774191528603 1.3456934114297812 40.0 0.0 0.0 -157.88772568837345 -6.199338666788782
51.38863879562652 -2.2625734508856823 -1.1594400100059994 1.1520266326723472 40.0 0.0 0.0 -157.52118556092282 -6.264159578173978
30.21153331925408 -2.0143670477822386 -1.038710035735444 1.1897336855666 40.0 0.0 0.0 -157.460119723404 -6.248218791603346
63.87693863469136 -2.2321450650712085 -1.0722554590155557 1.1402463195065267 40.0 0.0 0.0 -157.2331231117413 -6.269486396546082
29.926641166041392 -2.636241102046209 -1.1890125488962486 1.125967993654542 40.0 0.0 0.0 -157.09937517604675 -6.276168228873659
60.43822753252122 -2.439687404633633 -1.1108665243558677 1.4578552272867722 40.0 0.0 0.0 -157.06371281394593 -6.180177555154524
48.66880586697078 -2.0151500095553416 -1.0067889238333025 1.4689596197589105 40.0 0.0 0.0 -156.79596045942657 -6.178980448860568
69.09134785536014 -2.5631706707854356 -1.116068558563697 0.9076861462742095 40.0 0.0 0.0 -156.7177853033188 -6.411939859797692
51.73191851285147 -2.0545253471703315 -1.1506032150965688 1.0542190410387002 40.0 0.0 0.0 -156.70341769583513 -6.31360606033437
53.052550593890125 -2.366042791670375 -1.2730656315681987 0.5973713992244408 40.0 0.0 0.0 -156.6513156818264 -6.749201721514007
35.39036628944665 -2.3146424638115457 -1.2876381057572268 1.1114387893656221 40.0 0.0 0.0 -156.61964114624726 -6.2832243303316755
64.79109325064171 -2.392472191852785 -1.0336471263689593 0.9711403882647763 40.0 0.0 0.0 -156.58811256474252 -6.36551597508409
21.247166735261096 -2.342687938392923 -1.1995357566140648 1.3425098497648786 40.0 0.0 0.0 -156.29932569096846 -6.2000729862952495
62.60659300649157 -2.4417929305776753 -1.2630938102723506 0.4924709618903182 40.0 0.0 0.0 -156.20564936030578 -6.922859060490536
53.3987645275766 -2.276557527656118 -1.1468704994926062 1.1162241180537806 40.0 0.0 0.0 -156.0315391720252 -6.28087150174076
26.35243850101665 -2.0711732826792995 -1.140577032700783 1.362151667062217 40.0 0.0 0.0 -155.97437072371935 -6.195712182678923
69.0852267527408 -2.435977961853803 -1.061975761460722 0.7538960137961928 40.0 0.0 0.0 -155.95205484937492 -6.552875748683924
47.24469370584607 -2.5302364720500337 -1.0292231689239222 1.2962377382126606 40.0 0.0 0.0 -155.89642174801298 -6.211960598040616
24.282673965844886 -2.392010908375719 -1.2408786099016087 1.1673873591972708 40.0 0.0 0.0 -155.78371127726794 -6.257463267147829
35.5817035713108 -2.5182286806640897 -1.2145706587267266 1.4883531846466183 40.0 0.0 0.0 -155.6587495345637 -6.177188396526473
40.08615456730797 -2.302050009227653 -1.0152175173331563 1.0680652350998707 40.0 0.0 0.0 -155.62820884308857 -6.305867193832916
47.68923611168962 -2.4389637526192716 -1.1017017779216087 0.8397130959419533 40.0 0.0 0.0 -155.61911993129016 -6.468893554320734
32.786095775047244 -1.9719650083538078 -1.064776990295218 1.3579580493726378 40.0 0.0 0.0 -155.44668943695166 -6.1966092731898605
52.23224184214172 -2.294291099484088 -1.1195865959665008 0.7389900123438923 40.0 0.0 0.0 -155.41883700781412 -6.568991438374794
