log10_mej_dyn v_ej_dyn Ye_dyn log10_mej_wind v_ej_wind Ye_wind inclination_EM luminosity_distance em_syserr timeshift redshift Ebv log_likelihood log_prior
-1.3587006484142043 0.2262513713990406 0.34725875220300506 -1.1859635467767795 0.050277944808569994 0.25286198493081535 0.15913212359817708 60.77198356155738 0.5302225659499551 0.0 0.009727 0.0 -135.37200224591902 -0.13223062804333674
-1.3603325691792096 0.2664000164307382 0.33936971008838157 -1.261812727354251 0.051936440586884645 0.23873785303780337 0.0857205043005581 62.0279145488687 0.6118153910684008 0.0 0.009727 0.0 -132.7612863976148 -0.2958199946083365
-1.3354450929337915 0.2738081357992403 0.34849609808171855 -1.0258823020445285 0.05139056067232086 0.23423706307585096 0.21324510122234216 78.11296983498097 0.6427986029171243 0.0 0.009727 0.0 -132.41492707472696 -0.5757924583181033
-1.3927188762587699 0.276328470007574 0.3499405998274078 -1.2834042438427722 0.05007092810089906 0.23891849443529814 0.021866946099228315 67.5547146543289 0.5928989150915646 0.0 0.009727 0.0 -132.27613063590186 -0.3497666656824002
-1.3097965174044834 0.23693160193763912 0.3213843462999602 -1.1838118974573915 0.053915381219979894 0.23937891871095207 0.12841286553266382 69.24860698051481 0.6132249004822565 0.0 0.009727 0.0 -131.77961045163107 -0.40823967047664755
-1.3546391017733972 0.26723180453583795 0.34277757628000627 -1.1571305961061542 0.05150005103083394 0.23404645260682305 0.10910617907788629 71.24012304363457 0.7137540490202449 0.0 0.009727 0.0 -131.76768074388585 -0.588399507230805
-1.4356701156327274 0.2518432900871109 0.324781081936053 -1.1960759754563965 0.05144555174246254 0.24121099032193477 0.36698117016577575 62.0278092274088 0.5302204319282423 0.0 0.009727 0.0 -131.49336828346455 -0.15268053759039757
-1.3023573136775808 0.27185419756821494 0.3414009240752541 -0.9770656651179503 0.050584225703185846 0.25885710464429057 0.2954718324341785 77.8305650731451 0.49912126545552304 0.0 0.009727 0.0 -131.34921753873033 -0.3191881922719917
-1.338783844435927 0.2568127900584844 0.34946732271749603 -1.2787025325448886 0.05144135950885823 0.23232531183682417 0.4228415123981044 59.02053457424615 0.6353885892112245 0.0 0.009727 0.0 -131.25702322928504 -0.28392707802741957
-1.4024481857833382 0.2641210580627743 0.32922265610645096 -1.152733632194185 0.05086941103992509 0.23594657445015785 0.2884630004151094 66.26037071187568 0.517561188378492 0.0 0.009727 0.0 -131.20743192466793 -0.19452463602809955
