log10_Xlan log10_mej log10_vej luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-3.768631450904852 -1.8718017986842668 -0.9667452987393552 40.767123588214865 0.0 1.0 0.0 -53.525683525834125 -6.419529065699978
-3.316594930745363 -1.3772985107728597 -1.0203940188828065 43.967375294186 0.0 1.0 0.0 -50.775230873177186 -6.495100991829487
-4.00043006727879 -1.8047923328575521 -1.0119490757603908 40.413915846886084 0.0 1.0 0.0 -49.91462814367048 -6.410827280836028
-3.6056061536860904 -1.6112546635402043 -1.0209889956006517 41.45830663615789 0.0 1.0 0.0 -49.10397650675624 -6.436341366381649
-3.6352828320814803 -1.6859421876144212 -0.9825850082438601 38.200811509975544 0.0 1.0 0.0 -47.75637094262632 -6.354509862626703
-3.3896081102418574 -1.538205520501335 -1.012784853155563 38.35018037454635 0.0 1.0 0.0 -48.10277008657808 -6.358412334703385
-2.51900807947466 -0.8278481957802963 -0.6913325117618738 40.51800401343009 0.0 1.0 0.0 -50.33641932481435 -6.413399522396951
-8.374671160929406 -1.7499191793470348 -0.6939663270927714 43.69433312792125 0.0 1.0 0.0 -50.08044789908057 -6.488871520509366
-8.49251695935741 -1.6710956641246986 -0.6930168814706295 43.227388168396054 0.0 1.0 0.0 -49.38421844089054 -6.478127383268952
-3.942773506449524 -1.6946316871295592 -0.7256980783281566 44.748997132639275 0.0 1.0 0.0 -50.01566976121073 -6.512722137549112
-2.6610872385051056 -0.9212146572021283 -0.7026454727538631 46.35712247598405 0.0 1.0 0.0 -49.791217729403904 -6.548028050956717
-2.730221913891044 -1.208153214203958 -0.7007139680354328 43.61777969914564 0.0 1.0 0.0 -49.74784146934588 -6.487117962018717
-2.686428118315134 -1.1043731085577475 -0.683332146050589 42.84198598219935 0.0 1.0 0.0 -49.203862383604694 -6.469171706156126
-5.14157344549362 -1.7811757848143999 -0.6782139009640131 45.618285417502626 0.0 1.0 0.0 -48.93340407616164 -6.531961735663977
-5.220329846043984 -1.571205424651935 -0.6654627250304046 39.65696211705058 0.0 1.0 0.0 -48.81813054796552 -6.391919625522962
-3.038039375988096 -1.3434759081467864 -0.7224116282969251 42.387873180636475 0.0 1.0 0.0 -48.76152741058839 -6.458515414961814
-4.989869552856947 -1.927948388805369 -0.6885128934501914 40.02171606576461 0.0 1.0 0.0 -48.3539993009199 -6.401075311963451
-5.432004327941993 -1.704691814914153 -0.6714085417225559 42.90559430762379 0.0 1.0 0.0 -48.343519065536796 -6.470655324396475
-2.7282016903931723 -1.0497535923314136 -0.6976663561576484 44.18043942934147 0.0 1.0 0.0 -48.04128322989122 -6.499935247806598
-5.4142258912155174 -1.6199524602888538 -0.6790183625128543 39.792935349849685 0.0 1.0 0.0 -48.02955741647273 -6.395342496285291
-4.396958210403995 -1.4379026413899743 -0.6699638301582769 41.3969693506454 0.0 1.0 0.0 -47.97916845755181 -6.434860777584207
-3.2715693121255445 -1.4106845414667406 -0.7154000425655531 46.41212475920239 0.0 1.0 0.0 -47.70857257416893 -6.549213838085587
