log10_mej_dyn v_ej_dyn Ye_dyn log10_mej_wind v_ej_wind Ye_wind inclination_EM luminosity_distance timeshift em_syserr redshift Ebv log_likelihood log_prior
-1.3936025952195772 0.2515091217481952 0.32591733590705513 -1.0873251216077693 0.05128961912827777 0.23974310164740514 0.4828984618897963 67.18462906640089 0.0 0.6 0.009727 0.0 -134.3869763131686 0.23018404634520095
-1.328436635247667 0.22120442278299485 0.31880666747412023 -1.1152877080662411 0.05332035225785877 0.2368895605862728 0.04124274753868143 78.14501729543298 0.0 0.6 0.009727 0.0 -132.81032177347302 0.07906223696070924
-1.3660278346256631 0.2120516959870361 0.3325072072626419 -1.1345887575015134 0.051254536324841435 0.233895778255148 0.10118959217265554 71.90886195394552 0.0 0.6 0.009727 0.0 -132.73003177495946 0.16222902256822724
-1.4035909787130727 0.2439014099112944 0.3337022557527494 -1.1842280842624024 0.0502083155884018 0.2482912367590009 0.33987858442738494 63.79518722889891 0.0 0.6 0.009727 0.0 -132.54516634735023 0.2819507813580806
-1.5022095294490372 0.23260091811524458 0.32487680582206213 -1.2352297572908633 0.05065896757164487 0.23801187175907318 0.2688152012701139 60.61683819023283 0.0 0.6 0.009727 0.0 -132.2241278453468 0.3330558211751855
-1.4203507417402834 0.24458604305224219 0.3153083471539797 -1.1091048118042441 0.05001781081396656 0.24856483339775345 0.11582648259397689 73.87499348343194 0.0 0.6 0.009727 0.0 -131.92241705819214 0.13525414606420139
-1.352962891914787 0.2449462689664938 0.3280717042784199 -1.0890768390953314 0.05053718970229128 0.25129175073576804 0.11563798737126627 74.3589901030374 0.0 0.6 0.009727 0.0 -131.6164916618493 0.12872395200432507
-1.3171240083362372 0.260282169834092 0.3255678638540279 -0.9150022336599652 0.05037347967645585 0.2489511303274351 0.3946031348399631 80.59363472930801 0.0 0.6 0.009727 0.0 -131.3120155854102 0.04820886076750597
-1.329164776313296 0.2371509934518265 0.30512314280763364 -1.09313265577799 0.05215296659775823 0.23939815924415536 0.27255479245801295 72.08527542891038 0.0 0.6 0.009727 0.0 -131.28502497429474 0.15977873443239776
-1.3047355752154064 0.19346671577634855 0.33506695958371036 -0.9393970518883883 0.05130295500803563 0.3202383329186979 0.7574450760240635 70.60912828671107 0.0 0.6 0.009727 0.0 -131.19535202458715 0.18046910159274976
-1.3620673183211207 0.25267813215592716 0.3133206450106869 -1.1446599021182844 0.052816397080071444 0.24017011700417526 0.2706008297704543 71.23482705868976 0.0 0.6 0.009727 0.0 -131.1715507034255 0.171646690671043
