ps1__g,ps1__r,ps1__i,ps1__z,ps1__y
21.92917551307835,20.77219090015081,23.987401512221183,23.55745616539476,23.455984099857936
20.57464203024962,19.68396652117607,21.53441105862147,21.235200287313035,21.105802516130954
19.201745032997156,18.40455407335356,19.237697353541563,18.92115459372905,18.739318328245503
18.79275346230898,17.9170695290766,18.596108093052425,18.45861867704317,18.12940216381777
18.39734910284032,17.418468649659346,18.126681535275075,18.051557656512074,17.55827072650942
18.241134751669264,17.15953922543353,17.85452018712803,17.80934074193912,17.300182536276687
18.092544419250594,16.911916547693338,17.662509418840216,17.57855623902943,17.055581946341867
18.074767346351607,16.785641367639958,17.55305845801381,17.40096668527781,16.930356580043988
18.060774483687943,16.652668271170775,17.455671796630067,17.22822875220709,16.811144793854865
18.171153836101958,16.62288601016441,17.45123334781156,17.08298562856372,16.79064178488109
18.292484262544484,16.582272906188383,17.454907605129044,16.94085727962084,16.776966333969874
18.464713003743938,16.62183522561002,17.52010678554266,16.942594947764785,16.854492811641684
18.642511010198703,16.647939864574926,17.59601075517175,16.960066702016103,16.941111503981165
18.912655736919216,16.766541021472168,17.683105801198995,17.13685419953679,17.114775124704366
19.194984573102264,16.897703105366755,17.775507123949374,17.335139140299766,17.29993777098281
19.452005998937672,17.05949975305812,17.873994396343086,17.497471843283776,17.44386026113575
19.7050948765794,17.22605674156936,17.973340537379812,17.65445223750092,17.58088471576875
19.933144512992087,17.37478593389672,18.069539924053643,17.792522644972948,17.698747453645282
20.156691192752028,17.515956574141306,18.165173411051704,17.927424850666068,17.81269954691299
20.35750083858373,17.653034450337994,18.27604519381017,18.060212126957673,17.917560587151634
20.553641718176635,17.781252768404656,18.39004597048259,18.19255564971897,18.020347939340482
20.73503353625533,17.93859411306898,18.51023243797684,18.300878459343508,18.113870924112575
20.91300407619537,18.10310618126765,18.631853774310763,18.403629284564122,18.205035378868303
21.072981859243097,18.240173042924173,18.73992287996971,18.509747959402965,18.296286586294613
21.228285173741643,18.370109715717774,18.844471153527135,18.61674159227148,18.387574437897264
21.363080573280087,18.510658675076886,18.956277381150542,18.706649024588334,18.470211977012163
21.491950924376457,18.654273685377998,19.070180542056292,18.791639935287435,18.54999307792259
21.61610819893881,18.782654001186486,19.19161958638542,18.882718979274486,18.62616315016794
21.738760064837344,18.90616818742666,19.31546567505453,18.975935456041,18.700754621013516
21.87000838626671,19.037671715000624,19.422782899010986,19.063998811617523,18.779373459710456
22.001727473151067,19.171982576543137,19.52429212936312,19.15022849900994,18.858734138124117
22.127486810325006,19.30618150622834,19.632504645948163,19.23093681749307,18.927951213123976
22.24548214348126,19.44033734808768,19.7432975720504,19.309519701914997,18.99336658370526
22.3554656365868,19.56137738191184,19.839138197977228,19.392085261390633,19.065551541505783
22.46306830867102,19.66635971801557,19.928695591177885,19.47686670354414,19.140154353645215
22.57766975168095,19.783525793707284,20.03268527468772,19.55512527464582,19.215160681466486
22.69547196730593,19.90837902024105,20.14327532847463,19.630820257976247,19.29043715876454
22.802715091849556,20.031292639859416,20.23756419445745,19.70477065553992,19.366436884502747
22.90471625566054,20.139293079412482,20.32376049018908,19.77772996498348,19.442795660077152
22.995324188213743,20.239155583903703,20.403965878205966,19.84760008749131,19.508005046187186
23.079805932014377,20.318546627943533,20.48447687413514,19.91590086677599,19.567219358310798
23.175790681891606,20.39870102727705,20.566844737651625,19.98512793743587,19.629950209815973
23.27717885543357,20.479569136518773,20.649145515505545,20.055131134796866,19.694725254295307
23.37003491136055,20.574808794552627,20.727823419621956,20.12081904909922,19.763591315375123
23.458023846063984,20.676347920608794,20.81168034994833,20.18387112070585,19.835024313954204
23.544307091171994,20.762872165644403,20.899869419721572,20.252280013852065,19.90124004418901
23.626580789416487,20.830921913540223,20.987704467123468,20.32423583160851,19.96392691479259
23.707189266717272,20.900759392428675,21.06051185954465,20.391579305984116,20.027255717640408
23.781172132325658,20.95114291555891,21.12237405680589,20.455689344271025,20.09105206340838
23.85982619387063,21.012433342720186,21.185980920065802,20.51663395317422,20.15567643482348
23.94592587062298,21.06383494516342,21.250954932565463,20.575253071455204,20.220739394885435
24.02840512008809,21.119452234767095,21.32000989655765,20.631433267664626,20.281775780809262
24.108028373865206,21.188845841670375,21.392503263561444,20.685783087710583,20.3393601083649
24.18389512845102,21.247460709170888,21.46135922056599,20.74377459983604,20.394169531016708
24.25636033704908,21.2917694521936,21.526921467986497,20.80476179725398,20.446015522546638
24.32615515585113,21.338245606350824,21.58229169247123,20.864655050128995,20.500966168649484
24.39121655076463,21.38844453529113,21.632178855389686,20.923483977277673,20.558905593834673
24.45885740115665,21.435794132352427,21.685402138668714,20.976596356810695,20.613560949146702
24.530484820254205,21.476449910987924,21.741335978302068,21.023733314509848,20.665405838966535
24.601212167534552,21.53029910052833,21.799507669527223,21.07583697382924,20.722321903102817
24.67141065052863,21.602555000671952,21.856782200747887,21.13351901053501,20.784933683690845
24.735524935959212,21.651172612251294,21.90948086409966,21.187706461920378,20.844653169476167
24.793259985806046,21.67846826382828,21.960134443092816,21.23775034809597,20.90042034620202
24.862829869632407,21.721038355853345,22.01759611183989,21.288874762933517,20.950043223683057
24.946861480399463,21.77816490024555,22.082233599746296,21.341351924447,20.992149839266414
25.018938374954583,21.819648587954674,22.135641568214332,21.38852419037616,21.03562008721205
25.070268739915072,21.879609924114007,22.17253883372487,21.428776708422017,21.081426003034444
25.125210193878587,21.913406202680974,22.224545952709118,21.473274273335043,21.12676843828096
25.1979310099291,21.93538593007816,22.272240934964145,21.52339167527466,21.17133630565489
25.26839578347905,21.959691316408843,22.315211779800293,21.57381877685221,21.217396053322013
25.332586721166063,22.011803466600508,22.359976972680382,21.623230765478574,21.26649587973767
25.39387989213236,22.064003520154877,22.411458107514733,21.671372881711342,21.3152933779251
25.456069498184,22.120478457284754,22.45039623945883,21.71737343071203,21.36376051886274
25.517031786993016,22.16892107976654,22.491594117994673,21.760858631980447,21.41065656552355
25.582470378585562,22.19706382927269,22.52801883949196,21.79938389661678,21.455533403385168
25.64239212651729,22.23531263363538,22.569872225889036,21.838032317199794,21.49948046594585
25.701642770157388,22.308739755020675,22.6115452336552,21.876574081163675,21.542989628749517
25.76070820799686,22.338425529738586,22.65202189360056,21.918047067297167,21.584853002772658
25.839069654074603,22.34605006130223,22.682219181928083,21.96620039838191,21.622861814461867
25.90904941374103,22.36980801891849,22.726058953953647,22.011367589460058,21.66310428435336
