timeshift log10_mej log10_vej log10_Xlan luminosity_distance em_syserr Ebv log_likelihood log_prior
0.009823063205202542 -2.8226830459363845 -1.70910997614659 -3.8100710543794047 5.609382214051814 1.0 0.0 -171.34642020103595 -6.107639902673704
-0.02873970212035956 -2.839163747973913 -1.7705336829459801 -3.7672780381716837 5.357620873249711 1.0 0.0 -168.99361049825998 -6.061719321089006
-0.09237638928147153 -3.0007272288436115 -1.6299352676129257 -3.5029650433848536 4.911578534867498 1.0 0.0 -168.98231458550305 -5.974794695476791
-0.054871776188743504 -2.5275199740637553 -1.7663673352970783 -4.22289556797284 7.84334314854892 1.0 0.0 -168.38209522535976 -6.442864476954487
-0.06378990787663061 -2.7052273997758314 -1.7983188495153117 -3.4103891750798194 6.852102467027242 1.0 0.0 -168.03934841890882 -6.307754846149347
-0.016452687231716875 -2.6464914453669754 -1.720958444492531 -3.6699374946913936 7.024643937760529 1.0 0.0 -167.9949964874703 -6.332623840394391
-0.0601250171682002 -2.989809989627134 -1.5813573030776953 -3.788878238368291 4.660308361596519 1.0 0.0 -167.81722397683745 -5.9222809294401095
-0.07660592112824605 -2.6099279299087694 -1.7411636278459452 -3.3945267592510078 7.032149273689325 1.0 0.0 -167.5830044667512 -6.333691699404495
-0.09165975962449652 -2.47941841390069 -1.6846256706810205 -4.264632050153493 9.359136742876446 1.0 0.0 -167.4707180692976 -6.619552369386446
-0.09344457957426522 -2.874357634303777 -1.6782493421093154 -3.799806157095757 4.960511219744013 1.0 0.0 -167.2545529849181 -5.984708115397826
-0.08889608445769279 -2.5800127364761245 -1.7924301505630615 -4.281845541194143 7.19652190384303 1.0 0.0 -167.24869606086733 -6.3567971518713495
-0.011620887761818868 -2.8255099988360524 -1.7272778445726455 -3.769359846283015 5.911788431310068 1.0 0.0 -167.21558727319936 -6.160147708166696
-0.08841001249258704 -2.2992816698240057 -1.7774541895927376 -4.066185187176356 9.762203433883624 1.0 0.0 -167.1409926393311 -6.66171744808848
-0.09120257663524754 -2.581955450379773 -1.5788663744957763 -4.000386837467085 8.843141319128799 1.0 0.0 -166.94458411936407 -6.562841477844715
-0.09852955896158729 -2.8888378388395517 -1.748515222880429 -3.5221720563528134 5.850624904227375 1.0 0.0 -166.8099427271416 -6.149747788249638
-0.054944494944503486 -2.5860926985593493 -1.7381909133451108 -4.040437458445718 7.149182519990085 1.0 0.0 -166.79046322469748 -6.350197328776302
-0.07654963101754375 -2.385222603579935 -1.7603890519210186 -4.258080079256452 10.294284888299758 1.0 0.0 -166.76197214277252 -6.714788187502711
-0.07354125211981817 -2.7983763057917908 -1.6792264156150527 -3.6382991163289127 6.7771323828406365 1.0 0.0 -166.7362914891635 -6.296753371574735
-0.09562537336134691 -3.0212069459307367 -1.6291702712898901 -3.9485454234351796 5.17342717692147 1.0 0.0 -166.72361614157847 -6.026734677266684
-0.07199869501510656 -2.8875345483646337 -1.738549056714505 -3.5568949432695014 5.176642778597614 1.0 0.0 -166.57508863168613 -6.027356045391427
-0.023033553352516542 -2.8637366237688324 -1.7061642205659744 -3.875704670607923 5.631574454473987 1.0 0.0 -166.49651438821124 -6.111588368966869
-0.05539736089359645 -2.6149709608743796 -1.6548378797027574 -3.680439380880573 8.0153080084281 1.0 0.0 -166.40364157172186 -6.464552525797686
-0.08773832279156872 -2.293262236268013 -1.705067649621377 -3.936379881219888 11.636034014072617 1.0 0.0 -166.39514257233398 -6.837305975279803
-0.06672074649057255 -2.2650197221528083 -1.7945478738182505 -3.9216515821345572 10.842199004565053 1.0 0.0 -166.37490140411802 -6.7666451471132865
-0.05135493528839096 -2.482590361688593 -1.6676927041338343 -3.9096227799696033 8.988917976534138 1.0 0.0 -166.35673653774742 -6.579191794153987
-0.06260988421397223 -2.562728087995514 -1.6007379153442038 -3.7755987289930006 8.28280008761557 1.0 0.0 -166.33981413223316 -6.497380397537151
-0.08361694552392208 -2.7486326989991086 -1.7474945835628475 -4.205018128450699 7.100539514203441 1.0 0.0 -166.27972081484103 -6.3433700805517175
-0.07338864900623972 -2.6463965249145525 -1.7850286952585994 -3.419011581458892 6.6901063615702485 1.0 0.0 -166.2229022824546 -6.283829084079632
-0.07892013763161185 -2.766111862165066 -1.6476074836294563 -3.67516736827133 5.7134065334660065 1.0 0.0 -166.2126346604999 -6.126014748053432
-0.08392705715068623 -2.530990108205093 -1.7688499644519373 -3.396896864979502 8.042742314380687 1.0 0.0 -166.1999216092986 -6.467969420388593
-0.058889053186975564 -2.4100460336403065 -1.7592104165893505 -3.594070751298985 8.953023106345357 1.0 0.0 -166.13975540322016 -6.57519056397357
-0.04792832197050026 -2.5697373773321153 -1.7214009428011638 -4.105089044277597 8.260164342568522 1.0 0.0 -166.05246400923573 -6.494643795005102
-0.0688666798612329 -2.471838665207685 -1.7769200175482078 -4.01854603637629 7.948802773296744 1.0 0.0 -165.9202184930186 -6.456220634247279
-0.03516935012292162 -2.7567686473603015 -1.780389124761445 -3.9811167967641445 6.6846026269265435 1.0 0.0 -165.87482732716668 -6.283006077768378
-0.09376987598644154 -3.016952045644487 -1.697756113857455 -3.632865781386604 4.776842079839478 1.0 0.0 -165.87296113237102 -5.946978986898329
-0.0779043124145553 -2.382752894851321 -1.7090891904148084 -3.6295418762060905 9.633591117036557 1.0 0.0 -165.86065028645208 -6.64845537712162
-0.05360859240937891 -2.534125088365349 -1.752641620677401 -3.5627125276508647 8.237360942844797 1.0 0.0 -165.8529933929174 -6.491879330171536
-0.08180670906236659 -2.646486540024726 -1.769893837960828 -3.6644648056223517 6.275200468377008 1.0 0.0 -165.82562106752678 -6.219804743134668
-0.06757803899945762 -2.787752171123236 -1.765730607181531 -3.506594585319336 6.173084078171828 1.0 0.0 -165.70956520614234 -6.203397875104117
-0.054559830386340796 -2.669360867037422 -1.7705128602222355 -3.5955395328566997 6.4186127951837895 1.0 0.0 -165.6334816948204 -6.242401330313054
-0.05531757087095063 -2.7076802556579422 -1.6012452573559584 -3.7367389742494757 6.899983851185519 1.0 0.0 -165.632363342408 -6.314718382667985
-0.04742770243263825 -2.7621131578522125 -1.7820299532803447 -3.652516203741432 6.648321870880375 1.0 0.0 -165.58878403966105 -6.277563784053935
-0.07258371637378068 -2.477821736376274 -1.697715074637387 -3.7368548024485673 8.08615196432947 1.0 0.0 -165.58085677532407 -6.47335227602833
-0.07876803185649683 -2.6975292306578313 -1.5893163978158342 -3.9111876291363465 6.806976179461293 1.0 0.0 -165.57317319402406 -6.301147306517041
-0.08812446627613896 -2.668322422790004 -1.7002858338370088 -3.5909108715365736 7.691713909861529 1.0 0.0 -165.56569245619437 -6.423342945304525
-0.08235083587786164 -2.377906060057613 -1.7273951284850675 -3.576598321785755 9.441561861688863 1.0 0.0 -165.5588321821803 -6.628320729397324
-0.07082717002918601 -2.4270094998188054 -1.685051222376451 -3.795691483573478 8.983027044859423 1.0 0.0 -165.5542575442637 -6.578536224389147
-0.08719060670123163 -2.7545620481036495 -1.6225062030807786 -3.6075522881229016 6.727142258773603 1.0 0.0 -165.52817441302508 -6.289349737727053
-0.09706435894891913 -2.8679482330462895 -1.668179339620358 -3.954517434231759 6.4840622688414085 1.0 0.0 -165.4723680325938 -6.252546518763767
-0.038498541066037034 -2.514415781515848 -1.7479869671529868 -3.7519854683051124 8.4899870255661 1.0 0.0 -165.41157980786022 -6.522086783595621
-0.057589640145004534 -2.6251336797486577 -1.7213836078869718 -3.6369220277731955 6.791036079166696 1.0 0.0 -165.40620194532377 -6.298802830384391
-0.07378133824579752 -2.3038135817011325 -1.786364467229768 -3.75355831975856 11.106956673413963 1.0 0.0 -165.3929343151256 -6.790770950816728
-0.09806904842747638 -2.7200041544072464 -1.7331769686337668 -4.235253715429186 6.650660255190206 1.0 0.0 -165.3893271812813 -6.277915447709359
-0.08121889863183564 -3.0145914365066027 -1.7049573021152593 -3.7138966363587507 4.88226313177859 1.0 0.0 -165.38866583654314 -5.968808180350652
-0.07111287272449754 -2.501579182364714 -1.7481361029808464 -3.5756009222226686 8.885729239175914 1.0 0.0 -165.3335125712168 -6.567645845029267
-0.05720528913442677 -2.5252198194355158 -1.7477111777194816 -3.6389715706737995 7.613093878046336 1.0 0.0 -165.3233303725033 -6.413068955004988
-0.09031322906755995 -2.4266089519894942 -1.777885788260654 -3.6833410166593046 10.26908878836579 1.0 0.0 -165.27887125033533 -6.712337605906575
-0.0647365706734926 -2.62974251379586 -1.7098812860090358 -3.6902513817278377 8.07737042875076 1.0 0.0 -165.2682097765652 -6.472265689054382
-0.06586213893996704 -2.442832163168882 -1.6882614581298485 -3.985042335633688 9.31112301384852 1.0 0.0 -165.21780904046537 -6.61440901996336
-0.08437479032224857 -2.7335367336172687 -1.5987840908941027 -3.9098597412443263 7.398064456696961 1.0 0.0 -165.20220425251154 -6.384417717566956
-0.04494313715222932 -2.5930495938580704 -1.7634576391752192 -4.083759126961031 7.908896967066518 1.0 0.0 -165.1137247043939 -6.4511876356255815
-0.07012580326982257 -2.77630241112842 -1.669199618132996 -4.0411045536144155 6.810279580359337 1.0 0.0 -165.11134136080304 -6.301632485178749
-0.047275767044035404 -2.6922343093529313 -1.785898745854181 -3.9408056585634466 6.49677980510286 1.0 0.0 -165.07567509777834 -6.254505951019079
-0.045031101213508035 -2.8174998972101397 -1.7537882509232672 -3.9562497690405953 6.277325006829673 1.0 0.0 -165.06822153841438 -6.220143246884714
-0.08837292820376813 -2.675305485575816 -1.6238718393875649 -3.7915656078300035 8.040600780354794 1.0 0.0 -165.04118087729051 -6.4677031157993135
-0.08097629884456202 -2.871302248301925 -1.7199033644014525 -4.020088532372497 5.501864979594498 1.0 0.0 -165.00950454142517 -6.088286433435759
-0.0701934548625945 -2.9137677031860734 -1.704811685671838 -3.6936499158472804 5.0669310332953135 1.0 0.0 -164.99708987423435 -6.0059346269223965
-0.0653530969213503 -2.8427429634731882 -1.6351196716351983 -3.744812845485555 6.359215481860488 1.0 0.0 -164.994810806512 -6.233104329310236
-0.08750577632440074 -2.978464654624127 -1.5722824044979762 -3.775979103974989 5.158983870014355 1.0 0.0 -164.99242293186137 -6.023938947160896
-0.09853784222116171 -2.7159200391828784 -1.7103515898074169 -3.516421959057495 6.967430807944634 1.0 0.0 -164.9846210049756 -6.324445861113968
-0.07774753883175703 -2.754997292947484 -1.769584325158163 -3.4971387473957734 6.124930590678852 1.0 0.0 -164.9473444345102 -6.1955667357079225
-0.0962006023019128 -2.945541419066607 -1.7494594352978037 -3.690573722066497 5.482052101873887 1.0 0.0 -164.9325784946027 -6.08467881348338
-0.07487959819490192 -2.8731004096233 -1.7335347502774083 -3.8358807875284606 5.27201931053395 1.0 0.0 -164.9142171626848 -6.04561277151677
-0.05480056571944342 -2.827218256513347 -1.7336911532981154 -3.5994782158172125 5.923882307980711 1.0 0.0 -164.90953776620114 -6.162191340698582
