log10_Xlan log10_mej log10_vej luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-3.9697472265433698 -2.558556073945569 -1.754988281514043 6.192291580448144 0.0 1.0 0.0 -190.34077578678605 -7.815942448953896
-3.8201292052113516 -2.8429421231147796 -1.7603700323014932 4.545298971760003 0.0 1.0 0.0 -189.64940173872102 -7.506730729740752
-4.000340015880245 -3.230496893861247 -1.612410437476482 3.699158522319186 0.0 1.0 0.0 -188.17151133682444 -7.30074259129416
-3.7941059787821025 -3.0593220293803656 -1.602556631868726 3.732090848861194 0.0 1.0 0.0 -188.17062606774482 -7.309605849808707
-3.6401254820969733 -3.044806217436321 -1.558557296899862 3.8571670468733297 0.0 1.0 0.0 -187.8076224378108 -7.342570212250461
-3.518318408086291 -2.807519131055493 -1.641532308995368 5.754312940889611 0.0 1.0 0.0 -187.66437818595386 -7.742586874228298
-4.181548510546329 -2.631886915823472 -1.7902534340328045 5.959644032146974 0.0 1.0 0.0 -187.38879203421774 -7.777647977053251
-4.053472193793568 -3.078885578622617 -1.5821708254537492 4.399290203439216 0.0 1.0 0.0 -187.20917316148802 -7.474080434420492
-3.784418074816757 -2.8449085040824773 -1.5149163868113553 5.283939794420337 0.0 1.0 0.0 -187.20459119831386 -7.65730921656454
-3.654302874019333 -3.089629324605795 -1.4337431110790981 4.272085192948052 0.0 1.0 0.0 -187.1793946537959 -7.444739267538045
-3.6550660278351277 -2.637223710480087 -1.6961529093402654 7.598380913503417 0.0 1.0 0.0 -187.09491016013956 -8.02057241080912
-3.9293351563940337 -2.5244249324654104 -1.7566202267717288 8.912616981244092 0.0 1.0 0.0 -187.03733016407537 -8.180105135089065
-4.083654761322943 -2.4868521031615747 -1.7542288198031886 7.122009119371203 0.0 1.0 0.0 -186.98762807227376 -7.955827089215157
-3.8413673744355012 -3.14357574305703 -1.4825119559629214 4.118798073901315 0.0 1.0 0.0 -186.69442183287958 -7.40819861507397
-3.9475312681740213 -3.108544153668552 -1.7035509660023664 4.621469794701026 0.0 1.0 0.0 -186.54553322130715 -7.523350015789362
-3.638031593183026 -2.543857193075806 -1.7186865462816103 6.799804774995525 0.0 1.0 0.0 -186.54443243599678 -7.909531126119958
-4.14617127752904 -2.8168552058263403 -1.7016470584772017 5.062027391341131 0.0 1.0 0.0 -186.53022855427668 -7.614404297187519
-3.565773266557935 -2.8946015892953763 -1.6180119889655011 5.363792176249954 0.0 1.0 0.0 -186.4666799939761 -7.672308444404231
-3.5924293161373484 -2.8422464578471134 -1.6800600718762697 5.967684860158539 0.0 1.0 0.0 -186.42218032318328 -7.778996280483516
-4.098052242408268 -2.489508591126963 -1.6537269527842533 8.309823784067781 0.0 1.0 0.0 -186.30289815981837 -8.11007562726536
-3.673001870258627 -2.7931249372585794 -1.5575112852274888 6.0286725801141205 0.0 1.0 0.0 -186.2997284933525 -7.789164074447314
-3.633702623246166 -2.8740617953416514 -1.562261857629863 5.451289728943138 0.0 1.0 0.0 -186.19904782825614 -7.688489452100556
-3.864835625988034 -2.7673854527498856 -1.577328659066435 6.759057674537269 0.0 1.0 0.0 -186.0994587155162 -7.903520706989878
-3.4716366616487697 -2.5427909154225232 -1.796200443355359 7.009248555329783 0.0 1.0 0.0 -185.92534964953433 -7.939867723108778
-4.263284131963326 -2.8588486079257214 -1.6986678548068055 5.6169265054291495 0.0 1.0 0.0 -185.9104293188991 -7.71842185306392
-3.561053108014277 -2.8586181599589637 -1.6490658014501152 4.898099614496938 0.0 1.0 0.0 -185.8521821893966 -7.581484520022983
-3.903566169601551 -2.6827180056624598 -1.7191134977531606 7.572992084489885 0.0 1.0 0.0 -185.8229661674028 -8.017225468812848
-3.5896069385564875 -2.9487127634107955 -1.6723374910018316 5.27974519607774 0.0 1.0 0.0 -185.81886782901634 -7.656515062144596
-3.5914174305454916 -2.9695100319302425 -1.660390752025454 5.153362110482963 0.0 1.0 0.0 -185.79133453489072 -7.632286562566769
-3.8677401606295874 -2.551994077494656 -1.6512486490511653 7.066110925051955 0.0 1.0 0.0 -185.77082251627948 -7.947947471145539
-3.5900833797006815 -3.0169268456458482 -1.6237610884408138 4.8341460145856505 0.0 1.0 0.0 -185.74932573158335 -7.568341711482575
-3.5274029148420425 -3.0863102426716797 -1.6639979247213397 4.272436533108303 0.0 1.0 0.0 -185.69737434821752 -7.444821505063261
-4.349995357525015 -2.7521411422772544 -1.7509973982453702 6.192801514192246 0.0 1.0 0.0 -185.69695678544994 -7.816024795326344
-3.9105033236763918 -2.6196224668155765 -1.614538432644875 7.948073380493211 0.0 1.0 0.0 -185.6469331140083 -8.065566781129835
-3.9312029693245796 -3.1647899871703213 -1.6513625037669513 3.7286368905640233 0.0 1.0 0.0 -185.6108097061943 -7.308679945884972
-3.754406344172507 -2.665177854324123 -1.6432412378886214 7.462484838292 0.0 1.0 0.0 -185.55730372361302 -8.002525670906497
-4.030981896308183 -3.0158711778648373 -1.5920480953621776 4.750696453702927 0.0 1.0 0.0 -185.55544691847655 -7.550928453040321
-4.082701402801788 -2.6625095046852008 -1.655918993102049 7.608741571826758 0.0 1.0 0.0 -185.55345704159095 -8.021935017040033
-3.4658481964523506 -2.8720750815178797 -1.7672431320990476 5.107053190200694 0.0 1.0 0.0 -185.46182426581473 -7.623259786676581
-3.883597040226265 -2.9790255172597218 -1.5425571749397347 5.058427401591613 0.0 1.0 0.0 -185.44401182783824 -7.6136928687043115
-3.9761764297769426 -2.458580927300007 -1.68690511221322 8.051193168495812 0.0 1.0 0.0 -185.44366312074146 -8.078457524045447
-3.8676002799041953 -3.0162110413911893 -1.7953498261583969 4.545765803045411 0.0 1.0 0.0 -185.38969453353792 -7.506833430864852
-3.685456710225175 -3.004671763626542 -1.7613468803610255 4.263732433257677 0.0 1.0 0.0 -185.33736033349945 -7.442782158630084
-4.217879999085843 -2.9283439580017143 -1.718509558157495 5.276409470153415 0.0 1.0 0.0 -185.32528153859138 -7.655883065713922
-3.536976173443189 -2.592308286266168 -1.7294395678114212 6.856802082495488 0.0 1.0 0.0 -185.30958695975698 -7.91787838822444
-3.647463870393909 -2.8818419411453466 -1.7867784505293116 4.698683415986814 0.0 1.0 0.0 -185.30636292429858 -7.539919569125265
