KNphi log10_mej_dyn log10_mej_wind inclination_EM luminosity_distance em_syserr timeshift Ebv log_likelihood log_prior
38.67468946366567 -1.8765058848999305 -1.0416950432568077 1.2259712733071642 38.472337453351656 0.6985740829729499 0.0 0.0 -138.4076905009944 -12.67291555618957
61.39289078682193 -1.9752483717974654 -1.1356944234669433 0.4713610221444393 44.31914552771342 0.541017222121758 0.0 0.0 -137.99922822203374 -13.287572978015081
47.63854945622436 -1.8379740933062054 -1.1583261666724847 0.8406096285815494 38.45879822575424 0.5352371962008088 0.0 0.0 -137.5926155716712 -12.639867342303692
68.37041408318906 -1.942296138631405 -1.3616325080115246 0.1247527043177111 35.57093544389213 0.5867624384105262 0.0 0.0 -136.80389936221434 -14.443431746348194
68.70088428943038 -1.8168895043286462 -1.1419017566456326 0.5121658001840552 37.46449848329921 0.6097876668237023 0.0 0.0 -136.55229627926897 -13.162984938983032
42.4783574754358 -2.182440329251172 -0.9703863989267045 0.9221324126801961 50.82089315677549 0.6715652053010563 0.0 0.0 -136.53311432339567 -13.078220943225082
55.845041267209986 -2.3362219959068704 -0.9757032708467768 0.5910669665527043 54.500153375466375 0.6090805326769216 0.0 0.0 -136.3862474228129 -13.408165920984189
46.56174797720116 -2.382031287308434 -1.0320157977338968 0.32492143227674136 58.679220295406886 0.5692356530389482 0.0 0.0 -136.35952456634425 -13.971475778058695
44.529475023486484 -1.9053098055316215 -1.0307946310252083 0.943453195793679 45.90612623285144 0.6617873240783507 0.0 0.0 -136.34286066005475 -12.946035973674535
59.29479740312565 -1.7927749546061795 -1.284219860752429 0.44482360201766874 39.13906817214803 0.663753022706 0.0 0.0 -136.2715843369108 -13.421572787944708
58.356649635742954 -2.2994539278129813 -1.0676083179402502 0.22959910521174098 52.236711256115775 0.7153967287747445 0.0 0.0 -136.17873919444673 -14.422110485285433
61.13106903337952 -1.8998659416190362 -1.133793055014626 0.5789229051486268 47.465725790751485 0.6650827235005309 0.0 0.0 -136.03391882160355 -13.376267302737539
43.12311229007217 -2.2937626898723384 -1.0747546018442335 0.6599003263567038 49.0080956732871 0.6224153459034989 0.0 0.0 -135.82798088846167 -13.228187052420134
52.983866184600615 -2.164115988271252 -1.0516333321340707 0.6521219478473946 47.60679163895749 0.4721219256897053 0.0 0.0 -135.82037704405255 -12.932912053493062
40.3197256724095 -2.128265898285023 -1.1160598719794 0.5840697092355678 47.84922253661836 0.7078445373623881 0.0 0.0 -135.71443563362908 -13.438797175564444
