KNphi log10_mej_dyn log10_mej_wind inclination_EM luminosity_distance em_syserr Ebv timeshift log_likelihood log_prior
46.085386160199064 -2.35132680215089 -1.11998507598938 1.0069419810047082 45.067703687899254 0.6178583527900826 0.13751615693124772 0.0 -117.71507926910125 -12.102155649018755
63.94290570980027 -2.386222957667128 -1.0800634166372467 0.6992755339707929 43.682530369647964 0.5675596851735782 0.018993149831635612 0.0 -115.06723582218514 -11.710623287688989
32.399025514826555 -2.482120379894257 -1.2681774568039113 1.5611639293249842 31.77191656022413 0.4582199623868484 0.07737949828717397 0.0 -114.39512796389518 -10.970638788873979
60.749410473141445 -1.9759586545255372 -0.9800229070637005 0.7176727012518711 49.16711736730895 0.5455469831722303 0.04193648041985958 0.0 -113.91973670353391 -11.853044985982246
55.63695405747152 -1.9969317853241415 -0.9979130751519438 0.5861533119635162 55.900838273656476 0.544512082557514 0.11796746477458107 0.0 -113.47315961619394 -12.501519899138627
59.38005985176805 -2.0819384854042835 -1.1004698215342557 0.702795517251466 45.888927884383406 0.5171845327858271 0.0008327521298813732 0.0 -113.44999654974998 -11.600158681226901
40.57499690173073 -2.2482060404023145 -1.0430032345852311 1.3975142378600762 39.60062938631855 0.48321818310075054 0.192659140910818 0.0 -113.41131603468547 -11.988521823604334
30.703741285681865 -2.388583510220368 -1.1816314094634186 1.4396409466836826 36.96955583123516 0.5520966643926323 0.22746999679317748 0.0 -113.27905057503388 -12.438572055205041
53.02285318906835 -2.1104175170714816 -1.04638062447083 0.772790861121991 50.91317584749548 0.5074190331055665 0.0861338736675506 0.0 -113.22456609894849 -11.943578677035925
32.665427493468854 -2.4346412673073474 -1.1860830365657955 1.3651271454087937 38.14154132552674 0.5010126044954416 0.08499108429779546 0.0 -113.11555296437746 -11.298685315274472
33.872617052003406 -2.44153135004271 -1.0955615597213793 1.3905118717369027 38.93513033858163 0.45774824992267976 0.04880248228449895 0.0 -112.96575093482608 -11.068445615147203
38.3154674638574 -2.4006742072559923 -1.124204390254425 1.5287675079497267 36.78305491924904 0.6021322734020423 0.05628002476950075 0.0 -112.88785123395994 -11.300506790357236
45.68350292316573 -2.335499952273778 -1.0290952407664717 0.8467343313871107 48.897884087307055 0.48748014894054637 0.14864150014995503 0.0 -112.88569220429693 -12.138315928487904
33.40041707399547 -2.244951235638478 -1.1282907522727106 1.2833599333802452 39.49795463632082 0.5811237139616591 0.026439388997285856 0.0 -112.87876510253636 -11.261709700120068
31.186482649898657 -2.0824065785913985 -1.0151724664380517 1.509288165576046 39.19114059217872 0.47932115355213745 0.04946739972151057 0.0 -112.52528256904138 -11.109254147166958
38.302525367755656 -2.193432624298083 -1.0324589902965338 1.316869105643939 37.31308812009475 0.5344983186013839 0.2509260473517401 0.0 -112.47698664595872 -12.830065218710194
40.41390433014132 -2.318338364895147 -1.0706711199817416 1.199175240118504 45.05777933493838 0.5506462101165891 0.12481777869540214 0.0 -112.46869493530383 -11.814041863217149
38.72521313242463 -2.1165531382388965 -0.9530303505189877 1.2260042763520422 47.12361845270795 0.45778379066283487 0.11905369839634444 0.0 -112.46288643515904 -11.631757093504152
