isot,filter,mag,err
2023-03-07T12:00:00.000,ps1__y,20.725703161098743,0.3
2023-02-25T12:00:00.000,2massj,17.322068521980178,0.3
2023-02-26T04:48:00.000,2massj,15.522993178990003,0.3
2023-02-26T09:36:00.000,2massj,15.542759633866904,0.3
2023-02-27T04:48:00.000,2massj,16.244636297161232,0.3
2023-02-27T09:36:00.000,2massj,16.184978243158337,0.3
2023-02-28T04:48:00.000,2massj,16.455530749937203,0.3
2023-02-28T09:36:00.000,2massj,17.000752154479603,0.3
2023-03-01T04:48:00.000,2massj,16.76551864571999,0.3
2023-03-01T09:36:00.000,2massj,17.238128840460128,0.3
2023-03-03T12:00:00.000,2massj,18.94032387258986,0.3
2023-03-04T12:00:00.000,2massj,19.396630466437216,0.3
2023-03-05T12:00:00.000,2massj,18.74000844671846,0.3
2023-03-06T12:00:00.000,2massj,20.00429300563177,0.3
2023-03-07T12:00:00.000,2massj,19.231588390957356,0.3
2023-02-25T12:00:00.000,2massh,19.198672935619467,0.3
2023-02-26T04:48:00.000,2massh,17.769096780829763,0.3
2023-02-26T09:36:00.000,2massh,17.23864255353163,0.3
2023-02-27T04:48:00.000,2massh,16.35183097173108,0.3
2023-02-27T09:36:00.000,2massh,16.480403028641778,0.3
2023-02-28T04:48:00.000,2massh,17.150350930812607,0.3
2023-02-28T09:36:00.000,2massh,17.494154978078498,0.3
2023-03-01T04:48:00.000,2massh,17.847633772587624,0.3
2023-03-01T09:36:00.000,2massh,17.861376158295965,0.3
2023-03-04T12:00:00.000,2massh,18.721954675021955,0.3
2023-03-05T12:00:00.000,2massh,19.35651080302253,0.3
2023-03-06T12:00:00.000,2massh,19.853337815785242,0.3
2023-03-07T12:00:00.000,2massh,20.44155175069182,0.3
2023-03-08T09:36:00.000,2massh,20.19573204088501,0.3
2023-03-09T09:36:00.000,2massh,20.534354913751237,0.3
2023-03-10T09:36:00.000,2massh,21.280344504789568,0.3
2023-03-11T12:00:00.000,2massh,20.66761302757188,0.3
2023-02-25T12:00:00.000,2massks,19.0796478798269,0.3
2023-02-26T04:48:00.000,2massks,18.458124501137547,0.3
2023-02-26T09:36:00.000,2massks,18.288340329026827,0.3
2023-02-27T04:48:00.000,2massks,17.187887107167022,0.3
2023-02-27T09:36:00.000,2massks,16.5287232084093,0.3
2023-02-28T04:48:00.000,2massks,18.020018473211117,0.3
2023-02-28T09:36:00.000,2massks,17.204516271166092,0.3
2023-03-01T04:48:00.000,2massks,17.92988304464147,0.3
2023-03-01T09:36:00.000,2massks,18.24592515935746,0.3
2023-03-03T12:00:00.000,2massks,18.743997154502935,0.3
2023-03-04T12:00:00.000,2massks,20.167563305035486,0.3
2023-03-05T12:00:00.000,2massks,19.94083204156992,0.3
2023-03-06T12:00:00.000,2massks,19.624263322373046,0.3
2023-03-07T12:00:00.000,2massks,19.99159844347653,0.3
2023-03-08T09:36:00.000,2massks,19.330031416567866,0.3
2023-03-09T09:36:00.000,2massks,19.256871930657944,0.3
2023-03-10T09:36:00.000,2massks,20.783601399702174,0.3
2023-03-11T12:00:00.000,2massks,19.887015480012113,0.3
