isot,filter,mag,err
2023-02-27T00:00:00.000,2massks,17.2460054891217,0.05
2023-02-27T19:12:00.000,2massks,17.418435260320024,0.05
2023-02-28T12:00:00.000,2massks,17.683128466404433,0.05
2023-03-01T21:36:00.000,2massks,18.190607381200287,0.05
2023-03-02T21:36:00.000,2massks,18.521141299124942,0.05
2023-03-03T21:36:00.000,2massks,18.8446155602497,0.05
2023-03-04T07:12:00.000,2massks,18.96748063397383,0.05
2023-03-04T16:48:00.000,2massks,19.08527974608611,0.05
2023-03-07T04:48:00.000,2massks,19.75642371399352,0.05
2023-03-08T09:36:00.000,2massks,20.006696628946045,0.05
2023-03-08T19:12:00.000,2massks,20.08448370764805,0.05
2023-03-09T09:36:00.000,2massks,20.16903196128429,0.05
2023-03-10T21:36:00.000,2massks,20.33877921300693,0.05
