isot,filter,mag,err
2023-02-28T14:24:00.000,2massks,17.71972566374336,0.05
2023-03-01T00:00:00.000,2massks,17.85444926466936,0.05
2023-03-02T12:00:00.000,2massks,18.388453364410843,0.05
2023-03-04T12:00:00.000,2massks,19.02848180020995,0.05
2023-03-04T19:12:00.000,2massks,19.113417742953242,0.05
2023-03-04T21:36:00.000,2massks,19.141831061085153,0.05
2023-03-05T04:48:00.000,2massks,19.219487616503166,0.05
2023-03-05T12:00:00.000,2massks,19.3163730083398,0.05
2023-03-08T00:00:00.000,2massks,19.932671558346442,0.05
2023-03-11T02:24:00.000,2massks,20.35592136198639,0.05
