log10_mej log10_vej log10_Xlan luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-1.6396701750335239 -0.6954586765163062 -3.5105432236147607 26.474833151887676 0.0 1.0 0.0 -169.3061830646874 -9.268831813276558
-2.083740132963592 -0.7100907424579159 -2.980806878990622 15.27805164422387 0.0 1.0 0.0 -169.23917289471882 -8.719054489322993
-1.4879278095962905 -0.6857167731274227 -3.1007806703797725 28.495017184532905 0.0 1.0 0.0 -169.10851560704384 -9.342366460268156
-1.8077806177797293 -0.6902537956317387 -3.5018744697423605 21.098767579462873 0.0 1.0 0.0 -168.98262848248854 -9.041851854129419
-1.9181998050141948 -0.6979226210773062 -3.4464293122457565 22.44246509129353 0.0 1.0 0.0 -168.96965039921864 -9.10359215108384
-1.4137362475930066 -0.6870474348386526 -3.130827739901976 34.355940921912286 0.0 1.0 0.0 -168.8315714049428 -9.529412180226265
-1.5067247175732277 -0.689515853943059 -3.333027246947867 28.508401083040365 0.0 1.0 0.0 -168.70640725342696 -9.342836042590065
-1.4169146091198632 -0.6853050760691517 -3.207766276298795 33.786624462954286 0.0 1.0 0.0 -168.60691530018374 -9.512702222130205
-2.238800731672124 -0.6999766670298795 -3.332919181315117 10.884182060824223 0.0 1.0 0.0 -168.56836470420623 -8.37994777207247
-2.158691990828559 -0.6940093347493443 -3.2446385994876543 13.013158543969237 0.0 1.0 0.0 -168.4945388283364 -8.558598265136343
-2.146847280422071 -0.7129652489441005 -3.3394948740397643 15.199720574539851 0.0 1.0 0.0 -168.46530024518407 -8.713914268338806
-1.490335291506463 -0.6932581964522497 -3.149376017224518 34.389353598416065 0.0 1.0 0.0 -168.45256483636467 -9.530384251969297
-2.252680742143275 -0.7247422471524929 -3.326986070694411 10.332184403397772 0.0 1.0 0.0 -168.41776687820004 -8.327900946776879
-1.926350444755919 -0.7191846093308873 -3.1890170482518316 19.145790796053365 0.0 1.0 0.0 -168.3481499505526 -8.944720113603541
-2.2218214992463095 -0.701838166870624 -3.350316376555856 11.710689252581227 0.0 1.0 0.0 -167.9789356886419 -8.453139259956131
-1.7851620618416613 -0.6943990020787172 -3.509863967082957 22.394165045153883 0.0 1.0 0.0 -167.95074365733151 -9.101437659781704
-2.2383404004300465 -0.7194201982224389 -3.1800789224913943 10.155617530164639 0.0 1.0 0.0 -167.92117615193607 -8.310664227547393
-1.5949393758512649 -0.7085329498902511 -3.2056563377200753 30.328536400252144 0.0 1.0 0.0 -167.89396469557087 -9.404726288601667
-1.9296848976737166 -0.6843403122623541 -3.3512796329837276 17.58079554476519 0.0 1.0 0.0 -167.8035399250267 -8.859444367973444
-2.1504321336415697 -0.7129718673668775 -3.4198629572007446 14.608474038627367 0.0 1.0 0.0 -167.68001041778106 -8.674238997853584
-1.7441662199050456 -0.6823727243318305 -3.2716291991004294 21.328007931304747 0.0 1.0 0.0 -167.66838987170308 -9.052658359218668
-2.076001290645358 -0.6892539727090445 -3.105628371607958 14.222645206063373 0.0 1.0 0.0 -167.65566609374935 -8.647472651101978
-1.4396248505958251 -0.6924525821915843 -3.265868944967849 32.59525065612932 0.0 1.0 0.0 -167.5055361053922 -9.476803816274215
-1.8332737822731353 -0.7036796774757457 -3.4157476190632563 20.41577115643369 0.0 1.0 0.0 -167.48390478256195 -9.008944921978582
-1.9344004397378307 -0.6840158736637383 -3.3403912725535125 18.838193242731307 0.0 1.0 0.0 -167.20815188209895 -8.928523588391677
-1.952705094139029 -0.6863886232007215 -3.0745316291400737 16.50892862116955 0.0 1.0 0.0 -167.11901238182983 -8.79653858701451
