log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind inclination_EM luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-2.621213001586376 0.1663604615954274 0.15286328597602167 -1.0168516072950897 0.032958704263248886 0.264630425092291 73.53070340795075 0.0 0.25 0.0 -91.12272976703761 -1.6417044363800888
-2.7377112937139687 0.16735317688956908 0.19004050781058757 -1.0244240288874957 0.03463610449831601 0.1422229308020503 76.21303781495811 0.0 0.25 0.0 -89.34206620843257 -2.2543174974679805
-2.4510878057754475 0.15945618705218179 0.15455017656761624 -0.9385183777588604 0.03830118200029423 0.1615855073963307 78.16358892429807 0.0 0.25 0.0 -89.31152334381133 -2.1276607358463586
-2.2620212217977524 0.17219426214601508 0.16075882137993894 -0.9451467840831191 0.03427375816317909 0.10405732057512297 81.20181394258007 0.0 0.25 0.0 -89.10707469928622 -2.5652031557154698
-2.9134202531697553 0.16225577158207988 0.1524614744513582 -0.9715669679648582 0.03527573996216212 0.08606190971802956 77.94665346555365 0.0 0.25 0.0 -88.74714000852288 -2.7545075855268086
-2.204860272752773 0.1709067641052071 0.1528222739607075 -0.9370584175531802 0.03395340530598702 0.24763466851296104 77.83981652467216 0.0 0.25 0.0 -88.70113593219932 -1.7066266686024445
-2.5544529079806297 0.15453249837095434 0.1550712990992022 -0.9427885900114079 0.03636352452069116 0.0646496271776393 79.19134844956342 0.0 0.25 0.0 -88.53117825187249 -3.0400541106391903
-2.5187799660605794 0.16256117289306798 0.15617522704480422 -0.99912549500631 0.032638751521801505 0.22585875567873273 76.72509525102585 0.0 0.25 0.0 -88.3915364884636 -1.796946460739537
-2.3266832829770143 0.15270217375745082 0.15224867322491156 -0.9293189031847959 0.03549909739975903 0.19025027435404074 79.0478045128604 0.0 0.25 0.0 -88.29589278652236 -1.9660391403228563
-2.3665646175243955 0.16148665153279684 0.16131440564370994 -0.9153685498410464 0.034738019559367186 0.20877372924848372 82.72372251546933 0.0 0.25 0.0 -88.23296363065417 -1.8743637212619602
-2.5479917430461776 0.15897346438726975 0.15713518359564696 -1.0533679143023464 0.032625679725662694 0.14579942283322786 70.66820886190584 0.0 0.25 0.0 -88.2091018390494 -2.2296533211109177
-2.6071013396354767 0.16460414347666008 0.15983476909885974 -0.9155176977115653 0.03709596843882202 0.2310140687833682 81.07538542568278 0.0 0.25 0.0 -88.16165157619382 -1.774771603659255
-2.8713576299726724 0.1599360330794694 0.152330964548642 -1.0189773727251987 0.03365276218582679 0.08942404241923547 71.93883297412025 0.0 0.25 0.0 -87.9755917525935 -2.7162833113809355
-2.4160103797002805 0.1780769395832641 0.15198290690497315 -1.0205737753511157 0.03298050991816368 0.10301958468241236 78.90946444295055 0.0 0.25 0.0 -87.95488946301401 -2.575190108885202
-2.3506592847491166 0.17074399982671762 0.1555605989162906 -0.9042731812641169 0.032179786389435285 0.31137140523989665 82.65333244454847 0.0 0.25 0.0 -87.93157932899834 -1.4835645640230526
-2.5129935296998047 0.17526944325093793 0.1607094676245828 -0.9195959852099749 0.03631716907080756 0.15306903390038099 85.32369340572454 0.0 0.25 0.0 -87.86206245839037 -2.1813588105814428
-2.5566173870215114 0.15744141555427044 0.16266447374124232 -0.9610986432339015 0.034895850252196596 0.1734665400332772 77.13451870849211 0.0 0.25 0.0 -87.67849207741553 -2.0573751749581843
