log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind inclination_EM luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-2.901145242631456 0.13688214021554948 0.2612913080955776 -1.246031173690159 0.031267858370548636 0.3781356159423153 41.32793649800239 0.0 1.0 0.0 -176.93199918536814 1.733827551645898
-2.9885357564214363 0.1455163645564673 0.2798667010111615 -1.1101184131744168 0.03353405811209083 0.3542000005877063 45.83375277630537 0.0 1.0 0.0 -174.8376137638935 1.5679022599772634
-2.996765224913882 0.23797009403182945 0.29697731245767556 -1.225618622074692 0.031576016618125785 0.3505304251247519 41.99670815856642 0.0 1.0 0.0 -173.9214872306102 1.6453522031580845
-2.8385023519617807 0.13578748977439906 0.297055387548753 -1.32656763992075 0.03052735234148473 0.3615539518445407 42.0007025500083 0.0 1.0 0.0 -173.11604186333895 1.6749013883706492
-2.939683610671205 0.12670179529966621 0.21680578712170595 -1.1267234406392284 0.031867902934033306 0.3542039140525711 47.19881433024184 0.0 1.0 0.0 -173.04661334511457 1.5385648504215
-2.7968632375825253 0.15818051221984394 0.2361621158257292 -1.222065243994822 0.0301319372412782 0.3630147752443476 46.93652622421737 0.0 1.0 0.0 -172.91624276459936 1.5676458382367335
-2.991048050154961 0.14501861211163758 0.24281596163927893 -1.2457017077494732 0.03074540791665957 0.3656098729441975 42.613755122728485 0.0 1.0 0.0 -172.559326613856 1.6710702711266494
-2.80512643970472 0.13451041384598553 0.2557498649943226 -1.2023166665744562 0.03145268904114369 0.40356795085228647 45.708639300179094 0.0 1.0 0.0 -172.52899661161103 1.6948231955650845
-2.926891794622765 0.16446241862979227 0.24963350425258 -1.138357456171958 0.030190670038400636 0.3644405453293649 44.818165962172245 0.0 1.0 0.0 -172.43785323558825 1.6175739543546852
-2.613817520212197 0.18205241118656398 0.28390855169700363 -1.135399771556314 0.030675956116917046 0.40405126160344745 47.85670434752484 0.0 1.0 0.0 -172.4150532457196 1.650030403921733
-2.7904460858094304 0.13663474788542415 0.29166027051467025 -1.2087522373441006 0.033011377513265994 0.3997682433129813 47.1466153027917 0.0 1.0 0.0 -172.36900081437625 1.6549027068794793
-2.946703982991893 0.15308428133093477 0.23570859486005513 -1.122714360758907 0.030410262121720814 0.35371787044469716 45.21032834205095 0.0 1.0 0.0 -172.2499174017942 1.5802927338320347
-2.898368150279877 0.13566339761234156 0.23467563725131912 -1.1592585166051514 0.030674458938248262 0.3641561561154233 44.291199201529466 0.0 1.0 0.0 -172.19451477935442 1.6286557025180404
-2.7096335363923254 0.1907056016995446 0.28355629168465085 -1.2335543651989505 0.030428503509582518 0.4132831576949115 45.54001963659911 0.0 1.0 0.0 -172.17945333225526 1.7209695253771367
-2.762855063753414 0.2118183901594458 0.29769563447967573 -1.2242292566764434 0.031413046636705036 0.3974187312282537 47.43252369239777 0.0 1.0 0.0 -172.1573647186215 1.643277780380361
-2.8814575823831263 0.15436345898215195 0.2869587323350877 -1.1727268825198256 0.032868762987254704 0.33300158915258393 47.55838727663386 0.0 1.0 0.0 -171.97516418781194 1.4716976893711267
-2.897751511911013 0.15245854857680863 0.29267598003570594 -1.0767207290068361 0.03187092270671392 0.40921700995244187 47.76768187512948 0.0 1.0 0.0 -171.91235707188747 1.6638881389922768
-2.6962059085429066 0.12856120542980973 0.29688776897295277 -1.375089192867894 0.030085627831783198 0.36623318485495904 42.6143949317085 0.0 1.0 0.0 -171.89240201049614 1.6726819455407362
-2.681787439344482 0.19905556277715486 0.26960252252355676 -1.2492258072116884 0.03009834424321606 0.39271858178709107 46.3906460888937 0.0 1.0 0.0 -171.87937339813948 1.6542163951984348
-2.9408569264414837 0.13125250731682836 0.2861773383925195 -1.2409086757141137 0.031841232444142116 0.3705433047858543 42.9154759588977 0.0 1.0 0.0 -171.82664224289587 1.6768075001976315
-2.87417168865247 0.16500433088891087 0.23971763994534914 -1.1521614359110477 0.03004160352996182 0.3768565937068136 45.47947561572057 0.0 1.0 0.0 -171.69889113664598 1.6348794280794174
-2.745250777385611 0.12531357850459016 0.27424297836024575 -1.2358792092797466 0.03232211801701568 0.34303524405859837 46.49390735092685 0.0 1.0 0.0 -171.69527130899502 1.522881276045457
-2.9864008427030355 0.23590523603622754 0.2480484307225129 -1.1651703014831665 0.03069393835980289 0.3888611417639982 46.05511598611212 0.0 1.0 0.0 -171.69350987194645 1.652112102037976
-2.8484171061508055 0.1631930254274033 0.27751550335224584 -1.2511001324544104 0.030167833636777074 0.4131895193689171 43.448126748409834 0.0 1.0 0.0 -171.61563392917813 1.7677797292424637
-2.568826931145906 0.12454834982024196 0.25900772636158503 -1.194460970450032 0.031909078827374524 0.3435579412550866 46.996485458184615 0.0 1.0 0.0 -171.59180588217117 1.5135920274907253
-2.8458421335896253 0.24596040061765043 0.2698101406863498 -1.2044914535937168 0.03142144943804083 0.35674350323216 47.12590999242078 0.0 1.0 0.0 -171.5400293663801 1.546951451362757
-2.966929052530128 0.2380642574181503 0.2869800829959047 -1.2389774763554429 0.031084012348427736 0.3537693005177528 43.65002054345988 0.0 1.0 0.0 -171.47004771659624 1.6155538172320845
-2.9860856625504466 0.15409062079834596 0.22168556530072042 -1.1736982845466728 0.030655842038620606 0.3625396725190513 45.83856634782 0.0 1.0 0.0 -171.44988362042454 1.590064560317607
-2.9790497930126203 0.15390197123633817 0.24575293134956355 -1.0867238688633523 0.03134945449926654 0.3824158636083828 47.03098737369547 0.0 1.0 0.0 -171.43744352485007 1.6152674602193322
-2.896375654473461 0.16331785446984634 0.24807541816506667 -1.118301145217795 0.031130324936410162 0.38282891732374447 47.11104623936576 0.0 1.0 0.0 -171.41955002553925 1.6145929806375356
-2.618416040172386 0.1277642175619539 0.251795236455772 -1.1496105432471042 0.0313578817615704 0.39554924259229685 47.27504428780209 0.0 1.0 0.0 -171.36190707428537 1.6421379023016507
