    0.361442727118758285E+02   -0.211632858856187678E+01   -0.949318643055797828E+00    0.148463481729854818E+01    0.391347553110935942E+00   -0.563773410027034814E+02
    0.328921153029550766E+02   -0.237835341961742763E+01   -0.117889703996336759E+01    0.128802146897152281E+01    0.415781702533258968E+00   -0.561652341525722605E+02
    0.405828483706472980E+02   -0.228499915970517842E+01   -0.109529946861055083E+01    0.124058587367748041E+01    0.316005977449896724E+00   -0.551959191722892015E+02
    0.368237152731118869E+02   -0.231294579850194548E+01   -0.110040780681496986E+01    0.141527069301146535E+01    0.441506578572768316E+00   -0.551014349333895979E+02
    0.348887683017780788E+02   -0.245564906804789729E+01   -0.110909454316139078E+01    0.138904048364520394E+01    0.454531586513112873E+00   -0.549428514191959678E+02
    0.361431789614372576E+02   -0.246428835953434522E+01   -0.111386032971292614E+01    0.137447225522343697E+01    0.312751813795403510E+00   -0.548744273513580367E+02
    0.360602433406752425E+02   -0.248049841884615718E+01   -0.117020385745638444E+01    0.131501991532867346E+01    0.387530724461843390E+00   -0.548562312630184650E+02
    0.403728262562498941E+02   -0.244664681167641351E+01   -0.114912931830077847E+01    0.119149194511833212E+01    0.334193719197953487E+00   -0.548159501907706286E+02
    0.327662355396901006E+02   -0.214751993014223519E+01   -0.103701493012432655E+01    0.139132352799100523E+01    0.370312557053857960E+00   -0.548064866507707507E+02
    0.341787681876536880E+02   -0.236738475131748149E+01   -0.101979222037256778E+01    0.139777628461900116E+01    0.376576652523133659E+00   -0.546684998105745024E+02
    0.324544033117744561E+02   -0.219104965371047289E+01   -0.103620209047829470E+01    0.152693334128806968E+01    0.460164689023761841E+00   -0.546121369692382643E+02
    0.351931199121731524E+02   -0.240140985020217901E+01   -0.103405468676372414E+01    0.154734208606208967E+01    0.389049824247656939E+00   -0.543726232196112065E+02
    0.342156748482917266E+02   -0.246143317368143544E+01   -0.114039228388972114E+01    0.147152155181466848E+01    0.373365909907314941E+00   -0.543354788491527501E+02
    0.372284064368176502E+02   -0.241817650019236963E+01   -0.107071036798637365E+01    0.135233777943486300E+01    0.437523644131560252E+00   -0.543329997682227415E+02
    0.317301947385483416E+02   -0.236159089686915369E+01   -0.105575919282032760E+01    0.154060335676712579E+01    0.276554484630534336E+00   -0.543239666932881278E+02
    0.361502665325293506E+02   -0.216794124411531453E+01   -0.100996120622721453E+01    0.143392783110454780E+01    0.420537007165173560E+00   -0.543147982886343854E+02
    0.296508872685469100E+02   -0.234164694480700852E+01   -0.105427177638644531E+01    0.155558714000801568E+01    0.291291465114462911E+00   -0.541241599780163725E+02
    0.363029499452638333E+02   -0.228537991797423423E+01   -0.101936861084079622E+01    0.153947088767537710E+01    0.454262540812142679E+00   -0.540676397466718299E+02
    0.315058383154684165E+02   -0.221098624403251964E+01   -0.101468319057544676E+01    0.136091326543346858E+01    0.370873304452938646E+00   -0.539969445427047674E+02
    0.388401199690076595E+02   -0.223182416062197708E+01   -0.105895505481143370E+01    0.132682556663977858E+01    0.413454195131296554E+00   -0.539519033419801133E+02
    0.350151988085138299E+02   -0.241825284635316473E+01   -0.113387260659554423E+01    0.141563397558248427E+01    0.438020505082613032E+00   -0.539358093593713406E+02
    0.342086169687106292E+02   -0.214082321000598963E+01   -0.100909843141583222E+01    0.142528110705426880E+01    0.368905857398399983E+00   -0.538800470299287753E+02
    0.301991990271599562E+02   -0.240630031819944801E+01   -0.108594105102166893E+01    0.141568131495891514E+01    0.432680150704260691E+00   -0.538633412375796610E+02
    0.315106214670413607E+02   -0.223828897072975774E+01   -0.968729836984165704E+00    0.148705851048403348E+01    0.325469365744393946E+00   -0.538519439405397691E+02
    0.400336267172027931E+02   -0.230361159403096138E+01   -0.105101873140025637E+01    0.133218853578105279E+01    0.406790577053679381E+00   -0.537975657844273130E+02
    0.335015125299798981E+02   -0.223594984876170777E+01   -0.108038260832002209E+01    0.138618535911256524E+01    0.452680270947381225E+00   -0.537735576998385483E+02
    0.341198180133202413E+02   -0.224160425196178625E+01   -0.109004663547703418E+01    0.138087035460442564E+01    0.294749043128118338E+00   -0.537280352924446731E+02
