log10_Xlan log10_mej log10_vej luminosity_distance em_syserr timeshift Ebv log_likelihood log_prior
-3.6871656019761216 -3.0728601258107915 -1.7068717354765126 3.8943318895624177 1.0581096903010723 0.0 0.0 -187.5851940369795 -9.076032655476617
-3.5547136331639457 -2.710158653831914 -1.7590367928740411 6.053426485341864 1.091620419428283 0.0 0.0 -186.47581739117834 -9.548314204624507
-3.8581125316940295 -3.0411182453050274 -1.5561762903207375 4.199356005600866 1.0552132812581214 0.0 0.0 -186.09765004357982 -9.148700606409895
-4.191426747182465 -2.5216855101387905 -1.7826832617810984 7.7511837141286835 1.1040778172636385 0.0 0.0 -186.01678558965264 -9.806882517082675
-3.5986755317460677 -2.9656024117858375 -1.5731864494657144 4.642559664121037 1.0178534383364553 0.0 0.0 -185.75224385603022 -9.212988319499145
-4.211842611269205 -2.349453912883123 -1.7812813387881208 9.699999932998912 0.8565136375739242 0.0 0.0 -185.26263436823302 -9.777267355752995
-4.191994019587166 -2.975841031753687 -1.7556678256977511 4.797926330020023 0.9680031371996344 0.0 0.0 -185.2223362398244 -9.195690375238367
-3.8315235446651155 -2.788621638859342 -1.5844348105821158 6.04319335696929 0.7181691206134777 0.0 0.0 -185.11183661935056 -9.127908896129144
-3.664778669357549 -3.1371842196487787 -1.6341768081948493 4.003823788546521 1.054629331518058 0.0 0.0 -184.8765557491031 -9.100465728340438
-3.6901754857469893 -3.082923301868829 -1.5966252442009834 3.728785556527789 0.8566446416178769 0.0 0.0 -184.75971317769063 -8.821377008363957
-3.728652552752534 -3.008072354324727 -1.5265350949700032 4.227751325368028 0.8885384176902882 0.0 0.0 -184.37612425625696 -8.983519372687455
-4.110194256964675 -2.717166919614431 -1.6244854038923526 6.428243942618947 0.8282961911806291 0.0 0.0 -184.35766702881344 -9.332343443463282
-3.486365223591946 -2.837347659261056 -1.7836905170257562 5.593867032611496 0.8701879940607273 0.0 0.0 -184.21291363653756 -9.242651335354974
-4.119338715373664 -2.357168848342607 -1.7666530875799709 9.374284560511548 0.8381777394119184 0.0 0.0 -184.1652334124097 -9.721471669996893
-3.5533108404219167 -2.7735290616683543 -1.7143139835424406 5.735319177737159 1.0269700473959944 0.0 0.0 -184.16224458293837 -9.433282684816634
-3.801340206585472 -2.6130059537216903 -1.6916396881394677 7.0283723941200655 0.6817706279082095 0.0 0.0 -184.02721895938163 -9.226919671760129
-4.091973127795489 -2.7548446120453565 -1.738630307058724 5.378027652901131 0.9806047660268398 0.0 0.0 -183.95905892770514 -9.322762426280512
-3.650926441723537 -3.0145019801343484 -1.7612770413283647 4.685291862724838 0.982408597850021 0.0 0.0 -183.88410299007467 -9.186706757329743
-4.090527753411082 -2.656562081055864 -1.6714538847747336 7.6635888134280385 0.8615607520123294 0.0 0.0 -183.8610332606883 -9.547497196963906
-3.860265442811162 -2.9087065488035906 -1.7189678860366133 5.692286128900941 0.7432908627998501 0.0 0.0 -183.84305524845294 -9.102470623545171
-3.901176219394322 -2.3840199870389562 -1.7934035110247182 9.164194582691671 0.7698863916596606 0.0 0.0 -183.62540151589582 -9.613818195477368
-3.8142918875137006 -3.0387256841410526 -1.6313913473982515 4.618529700783535 0.6876924212607037 0.0 0.0 -183.3874166247694 -8.815689320777844
-3.644440249260498 -2.989890091245113 -1.7599519026713133 4.974548180588079 0.9191229241522589 0.0 0.0 -183.36103147144038 -9.180025657592498
-3.852975198479089 -2.902564775193366 -1.6758462986126084 5.781697718356163 1.0101750978057893 0.0 0.0 -183.35407406220187 -9.424847558497602
-3.7411789427996336 -2.8441164911904506 -1.722052953603607 5.918530765052897 1.0354292922882586 0.0 0.0 -183.3435162883196 -9.472930868445467
-3.682678606606757 -3.1267415313830043 -1.6015569859622307 3.9439270759019696 0.7360103000691344 0.0 0.0 -183.18905819697434 -8.725692297045512
-4.1055094331937525 -2.698238454581314 -1.633019813054971 6.42770472738001 0.8703726304763347 0.0 0.0 -183.16137438040727 -9.381810179351486
-3.5932212924811466 -3.1497047351395873 -1.6336698852408786 3.7971094994135655 0.8367069800077226 0.0 0.0 -183.1527316424591 -8.815985281878088
-3.924361081092508 -2.884022512957455 -1.766391874419108 5.682993246551433 1.0206262653773115 0.0 0.0 -183.11936165409995 -9.417921014553606
-4.013178419451946 -3.0705076756879883 -1.675752717443553 4.158014361842339 0.8000374832597106 0.0 0.0 -183.02291725395435 -8.861967461170169
-3.759817875893013 -2.4771065311123603 -1.711779615230301 8.615177636944695 0.9182304902891041 0.0 0.0 -182.84530137692582 -9.728245164182391
-3.82758278650795 -2.787367883892792 -1.7394570657885755 5.589283382398976 0.6614201064739917 0.0 0.0 -182.84113471842147 -8.967511519622759
-3.527697644797268 -2.891427538979256 -1.7040359547145683 5.079088124679722 0.7899867461463272 0.0 0.0 -182.8290095272792 -9.049419147821189
-3.886697116552262 -2.748269991304197 -1.6396161207264017 6.060832319075724 1.0594646299316643 0.0 0.0 -182.78864739828128 -9.519637367516097
-3.838390458796046 -3.0465730109818265 -1.6273365447526529 4.539692551759439 1.057129223885442 0.0 0.0 -182.7711944590241 -9.228442760681423
-3.5385187415141877 -2.781221372540245 -1.75369962174509 5.285431904258112 0.9248909866925865 0.0 0.0 -182.7590528593278 -9.246901454054992
-4.0537601094327025 -2.8920403723488084 -1.7856258188027574 5.398260611158875 0.7595062212219016 0.0 0.0 -182.75841715628567 -9.071016542915666
-4.340527153250282 -2.6002383120965353 -1.7754200413776324 7.0280421942867966 0.9342711517034588 0.0 0.0 -182.7512955887361 -9.541946119528665
-3.691418808651102 -2.90220374147086 -1.721506188593938 5.68233861088674 0.8536571492649686 0.0 0.0 -182.7108266828765 -9.239163760953438
-3.5949173715550655 -3.0486445192899176 -1.6926068554637013 4.26560131349117 0.7803368286169614 0.0 0.0 -182.70641190825071 -8.862580054028939
-3.9542789467602724 -2.8548126993505205 -1.7907470440610127 5.595086217139776 0.7217763876444151 0.0 0.0 -182.66228618307846 -9.055875366908623
-3.661392597854592 -3.0686215501040506 -1.5606964955171858 4.036958758805721 0.7945315040218095 0.0 0.0 -182.6352156038965 -8.825515500914834
-4.033538756809373 -2.883073088148477 -1.7263834341073963 5.215464258324271 1.0585765071673574 0.0 0.0 -182.62571871123185 -9.368579712024491
-3.6146037180345996 -2.9397693834041663 -1.6533468465475936 4.577996331290447 0.9845763846168503 0.0 0.0 -182.5439289450641 -9.165744139508837
-4.0354526453189195 -2.855192058321501 -1.6137966175307563 5.74619163058209 0.8277284672659733 0.0 0.0 -182.5216760046564 -9.219493709844988
-3.628082669986365 -2.829567686130816 -1.6653708478742923 5.05857370987928 0.9533017795212375 0.0 0.0 -182.50803523613595 -9.23328732130963
-3.8217140028512313 -2.7283547723523625 -1.6082056183498439 6.1397586788899385 1.0033816369572952 0.0 0.0 -182.5052779185707 -9.478187886405879
-3.758155495843127 -3.148248066551788 -1.5992247306982077 4.263821891946212 0.9420386583479555 0.0 0.0 -182.4876184302915 -9.050483465198747
