log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind inclination_EM luminosity_distance em_syserr timeshift Ebv log_likelihood log_prior
-2.4695023003600536 0.17655288638725425 0.2884947837532948 -1.0163102568137092 0.030879821199535577 0.4424998895445106 71.62876193047465 0.5998652007171581 0.0 0.0 -132.01978608418406 -3.105170560942603
-2.210855250818609 0.21657814219816146 0.2925044639357022 -0.9579097281912305 0.03397863791828647 0.28550050715192665 86.89284727208835 0.5771127360051728 0.0 0.0 -130.02485493170607 -3.678650805546046
-1.9945612246830247 0.1871312533933856 0.2763230121421378 -0.928906250246065 0.03691731894925476 0.38604654725431553 94.55586078482635 0.5568973260988273 0.0 0.0 -129.89478350835205 -3.4371360146603633
-2.22718752860344 0.1941478704137231 0.21574857147456894 -0.8953748207479291 0.030623982645902097 0.20337751701025242 84.16443618907746 0.668011193304716 0.0 0.0 -129.85923674661382 -4.125475781123523
-2.0624903594825192 0.2241305066745674 0.2731929046316984 -0.9587850410399164 0.03411856323790147 0.5455439369885137 89.98599342891438 0.5816505114136971 0.0 0.0 -129.8160762814755 -3.110404157964626
-1.978397110751496 0.19509662059937316 0.2710521741400227 -0.9114196904806975 0.03440377729777233 0.6336805355708964 89.70046894212327 0.5222873436290222 0.0 0.0 -128.4405260690323 -2.8675525436223275
-2.1330266372390145 0.18849715779710424 0.2808247456431633 -0.9854321797183434 0.03392478628263826 0.07926291094196561 90.96587062304208 0.5121682191826882 0.0 0.0 -128.18391996094252 -4.873973588018368
-2.161586260894917 0.18524469014276052 0.2439764180518047 -0.9910323363859646 0.03417126606814626 0.26454850742680136 86.94590127241908 0.51396980016524 0.0 0.0 -127.93518280332735 -3.6376767026692542
-2.102116280450879 0.2083156905366147 0.27667389209752224 -0.8972664483579311 0.0331247195990263 0.4160101208812716 97.69761655373541 0.6089504499119451 0.0 0.0 -127.83165853975972 -3.4884758626843593
-2.2051896747538273 0.24562179562527442 0.2596821134872463 -1.0428538224453354 0.03190375592215847 0.5128268941887413 80.84892960872537 0.5566238603256095 0.0 0.0 -127.80261476736251 -3.0153154778358395
-2.185999236057062 0.21948066387600945 0.24515339948027498 -0.9277812267872334 0.03367460908176103 0.3894680517770829 89.00426528460741 0.5282119635739937 0.0 0.0 -127.74099098559799 -3.315369136501687
-2.003536789791718 0.20087315499054564 0.23825118091899544 -0.9174993282207344 0.032743152969959284 0.336996030100494 89.26547997901318 0.623380750974813 0.0 0.0 -127.533143423516 -3.6222601519782747
-2.243893408617153 0.18770188223203582 0.26684820383923646 -1.0520374186271273 0.03286848038808321 0.27532864220012987 79.50326338741841 0.5264963541856742 0.0 0.0 -127.44776344173009 -3.5333024883288116
-2.067821356850017 0.2200133735143464 0.2506079862635616 -1.0414014046318805 0.032189551044897666 0.28829907535458266 80.88567023177308 0.6792609596159886 0.0 0.0 -127.4425650965579 -3.7604940426632374
-2.4586903775434172 0.23908855704109955 0.24666960157712398 -0.9753729456348414 0.030870062583326884 0.3250531214215987 77.27272335768379 0.6472003682049128 0.0 0.0 -127.34701379630044 -3.5502397728946775
-2.048945322596107 0.20203865177921604 0.267943153058106 -0.995470940560335 0.030368590658718473 0.4541304850052212 82.99154292644958 0.5157682756391543 0.0 0.0 -127.13412206911265 -3.077182647958556
-2.1053759330592015 0.2220008279649135 0.256489856670075 -1.098452262470896 0.03204461498274019 0.1980105449220442 73.17337265459423 0.5800461187310216 0.0 0.0 -127.10487242826287 -3.8707212484534925
-2.4077381573747587 0.22110650700630896 0.2368442957529998 -0.9366698738739416 0.031072885127626054 0.2950801393576828 87.64588063146876 0.5758056455573192 0.0 0.0 -127.07246966313363 -3.652941287779277
-2.2783175049383306 0.2466174979364089 0.26154878887280686 -0.9623261015984115 0.034010114139304645 0.46117807385381937 81.04908322222647 0.5521892465904445 0.0 0.0 -127.00483881200766 -3.107422875328139
-2.1611385487866217 0.2412706870834091 0.24247568139057774 -1.0226109496549924 0.030693169782229874 0.22205365222071435 87.88310443832985 0.6721007512016287 0.0 0.0 -126.92471097831069 -4.088287388774751
-1.9558807617417129 0.19861646255236276 0.2578396109260342 -0.9178361040341936 0.031834717118857124 0.39353287525568575 98.53672425755016 0.5218472535492841 0.0 0.0 -126.7865172431873 -3.395144624270855
-2.087653279311191 0.19842543768029136 0.23015688058174044 -0.9324507239985567 0.03237448361548303 0.3415345166642047 87.94862541183835 0.6037822222550213 0.0 0.0 -126.6916967632555 -3.5625938625444116
-2.4751580999428886 0.22347869573254286 0.26113438375287307 -1.1066611608909676 0.030296032059881628 0.3058539430866604 69.97150956089517 0.621558523947781 0.0 0.0 -126.55418899450873 -3.469409628804063
-2.263513449710215 0.19276234833108602 0.2575223238734198 -0.901440562868076 0.03560334157615359 0.25762663521654827 88.81910757236611 0.6178204922777255 0.0 0.0 -126.45046666160218 -3.8689339246241308
-2.1918649561942045 0.22510539736904922 0.22697349182337623 -1.073831022651313 0.03058450238481133 0.3293553279692647 74.49344536782966 0.5452646547179788 0.0 0.0 -126.41523069163415 -3.3295492783985132
-2.2542484961800007 0.1978994663130372 0.28613878531658443 -0.9893647987674683 0.03340004091202111 0.2125010381297747 84.21614417874555 0.5970032887130876 0.0 0.0 -126.34169257026491 -3.9704589321539103
-2.161390698902777 0.2033480013566889 0.2637497206047539 -0.9965754762963026 0.033801186264981985 0.39556602856321227 83.55289115906864 0.5968302420614849 0.0 0.0 -126.33498223929668 -3.359570060059165
-2.147784984920782 0.242295791998241 0.2505352290020807 -1.0491166208008174 0.033107877790486386 0.24718283728962326 76.6530450266353 0.6564016975128398 0.0 0.0 -126.22379942452399 -3.8226970962451476
-1.968023698661681 0.19640522034270447 0.27736376938374435 -0.902690909657138 0.03263116256470909 0.6088061576450102 93.1898173730229 0.5500542173226194 0.0 0.0 -126.13625674809043 -2.9922702988412926
-2.1549196825482193 0.21060693548415832 0.27597758121252636 -0.9754221126314861 0.03192503326390926 0.4662244437121257 88.16705389123511 0.5642657041989813 0.0 0.0 -126.10780597560127 -3.2031442215691883
-2.0532259926950114 0.20810100433939183 0.2571072609667581 -1.0227887432952791 0.0337733987086745 0.17573705732448833 88.48858282676422 0.6455058362672572 0.0 0.0 -126.0390274890304 -4.285630532310032
-2.018295020883519 0.19422845323063143 0.2644337018400005 -1.0374751421275725 0.03384268934181121 0.1657857037136103 81.84338248105321 0.5827471428819644 0.0 0.0 -126.03502791559116 -4.163008902586778
-2.229766134374541 0.19725877946262763 0.251398721543492 -0.92847086893618 0.031942337574938216 0.4873959815630352 85.92198073789636 0.5984565276452585 0.0 0.0 -125.9933588331083 -3.1951865437538913
-2.100724080170067 0.19627723375264933 0.257267488589759 -1.0171269213793743 0.03309971945552174 0.40619012519783004 80.23137243400575 0.5749370181617777 0.0 0.0 -125.97664882397372 -3.2565640863761622
