log10_Xlan log10_mej log10_vej luminosity_distance em_syserr timeshift Ebv log_likelihood log_prior
-3.7356888866962086 -2.9178728920206978 -1.6920033532108076 5.072373144480148 0.7992652051882552 0.0 0.0 -172.32080855387437 -9.059772833072559
-3.992176002514718 -2.6035112776847487 -1.698736185539526 6.822612500833992 0.836913835654644 0.0 0.0 -168.88979174617023 -9.402234821142754
-3.803076661800941 -2.776109163881877 -1.701608720524057 5.563349865969251 0.716218344491064 0.0 0.0 -168.8165034682508 -9.042456728663348
-3.7777352699707256 -2.5086238215043712 -1.755772599798992 7.244558213032156 0.7099465557425887 0.0 0.0 -168.56332338669657 -9.297711526394984
-3.7925259204445387 -2.5737480117763383 -1.761187081548513 6.933847734769209 0.7340726389015949 0.0 0.0 -167.08599094729254 -9.287294111669837
-3.9153183805620335 -2.5960580994963403 -1.7538853444852762 6.8875142759546675 0.7736693802486113 0.0 0.0 -167.07155822288837 -9.333126109310125
-3.8155728548968026 -2.7220591369302793 -1.7362892382726642 5.8135936766406955 0.7807128226339485 0.0 0.0 -167.36075670263838 -9.172677527230285
-3.826916934589711 -2.670478691695001 -1.747833256263596 6.078612438308069 0.7638646383744145 0.0 0.0 -167.00720438781974 -9.195438288184407
-3.609850016500719 -1.7136291370541374 -0.6884605504876928 22.11188201644205 0.8842279226895502 0.0 0.0 -173.69328381311306 -10.633101209416242
-3.496227499543635 -1.9335831474744314 -0.7106247166184656 20.050507020927782 0.7100011740331835 0.0 0.0 -169.18027015318617 -10.315792301930355
-3.4147658504776945 -2.1259835634340947 -0.7095020826179668 13.389543731403869 0.8504864054740758 0.0 0.0 -168.98604861536487 -10.092553748417455
-3.386750995345291 -1.9476068530356834 -0.7147954135012282 20.334713164666333 0.7858550591331087 0.0 0.0 -168.33556836720598 -10.431373043115286
-3.594888859111247 -1.706421308929209 -0.7071642681807235 25.272421513888183 0.7749949832148115 0.0 0.0 -167.85500778523087 -10.634841535577763
-3.359710435156405 -1.6596004661635915 -0.7066914327819742 23.225593157297798 0.7716146762471601 0.0 0.0 -167.8541604800763 -10.546011362435118
-3.360727202235088 -1.7029369989909577 -0.6855370320384053 21.607813548826975 0.7594602640146705 0.0 0.0 -167.62299587320072 -10.457934226774816
-3.572896714785224 -1.6576082734420883 -0.696204225880243 25.896461372442378 0.8988911049292878 0.0 0.0 -167.34153240553402 -10.80753946791742
-3.477185198032597 -1.865192565817988 -0.7067499204131187 22.576524929465656 0.7180239584998259 0.0 0.0 -167.31932485474047 -10.445684820444177
-3.2618786605372074 -1.3969190845748929 -0.6881147298181645 33.81185969413536 0.8397248546191479 0.0 0.0 -167.16211920742666 -11.006157140694041
-3.2617617604652924 -1.407795170976466 -0.6927796536162198 32.71178670915443 0.878735007819471 0.0 0.0 -166.91681295607555 -11.018490082023302
-3.39489282669655 -1.914087759656193 -0.7025602348023057 17.760536469688258 0.8460703980759752 0.0 0.0 -166.83798410928196 -10.36985274980322
-3.191321282358354 -1.6109183424422775 -0.7082582665253603 26.94562841546336 0.7832305216155823 0.0 0.0 -166.7935771601924 -10.709519371192023
-3.2322970305956567 -1.4881816002739834 -0.6938731713043476 27.862287402502883 0.8563289652197061 0.0 0.0 -166.77197429638971 -10.83219991299267
-3.169845265609947 -1.774045487334698 -0.694330948168826 21.827296927374277 0.7150153000971031 0.0 0.0 -166.74230491260317 -10.407736517408674
-3.528853106085343 -1.6552409346452435 -0.7094764940833207 26.50306506767135 0.7556456785003985 0.0 0.0 -166.66662993599792 -10.657104213386374
-3.1908166229076507 -1.5132111535630153 -0.6941044054749816 28.45548990184471 0.6518126242501419 0.0 0.0 -166.59220756140033 -10.580369480202355
-3.448085084074923 -1.3902279641613742 -0.7002219001233128 36.909655514399105 0.8099223070204545 0.0 0.0 -166.58908353406116 -11.057682746750775
-3.3122336242398145 -1.6234122381617575 -0.6940191907657112 25.514363317278107 0.9564019054627508 0.0 0.0 -166.52915681801977 -10.85469102591239
-3.2731436292591454 -1.4383294263854953 -0.6955544392190003 33.47807931731752 0.6485920133019445 0.0 0.0 -166.23656699775566 -10.737965993031189
-3.4014053996037994 -1.4616105419348888 -0.70555933114578 34.87365722480996 0.7050269772979741 0.0 0.0 -166.22639604810095 -10.862239041705749
-3.161447277667322 -1.785384446108651 -0.6988034573701516 19.782089027523277 0.7500784563581182 0.0 0.0 -166.15824838894795 -10.357225980343973
-3.4922373580211605 -1.6184548188234293 -0.6971983646145985 26.02415054725568 0.630839004024554 0.0 0.0 -166.13377193268062 -10.45834689697205
-3.3538143812771235 -1.8112360525985824 -0.7006522976669096 21.159979192401728 0.9458899400743483 0.0 0.0 -166.00738424498485 -10.656509080580042
-3.455885916755973 -1.916492227861788 -0.6993252808392738 20.054635207790263 0.7306911516747039 0.0 0.0 -165.789840145763 -10.344722415878328
-3.2802153145013904 -1.8284449062511605 -0.6923836654746092 20.574858469564955 0.8596605973001988 0.0 0.0 -165.5359548669591 -10.532878761899783
-3.46487813005346 -1.714487949607797 -0.7079485210059517 26.99920165943045 0.7400181528480768 0.0 0.0 -165.5208849349845 -10.654753251239885
-3.3623273051955174 -1.9470023429570045 -0.6966796028748781 18.81986260354526 0.7886103990420961 0.0 0.0 -165.4247196556975 -10.357456478713768
-3.3587684034416903 -1.5370981668155395 -0.6918308475716244 31.639081852947648 0.8144764152317483 0.0 0.0 -165.3731164720752 -10.909209832485528
-3.2625774765262143 -1.9525708183230357 -0.7094374040384825 18.234511162466465 0.8052109298546932 0.0 0.0 -165.25963380946962 -10.34669152107849
-3.369688893750901 -1.8280376993660967 -0.6986454248962317 20.576203433213326 0.9192285999320723 0.0 0.0 -165.22831038035307 -10.599941311981409
-3.477269966763356 -1.6431564646506174 -0.7053880662567871 25.41221681067977 0.8513982944619527 0.0 0.0 -165.21982866629887 -10.734381322435581
-3.1421237893231693 -1.6725064787390198 -0.6972894794952083 22.80848649795104 0.8207588947604275 0.0 0.0 -165.10994647641962 -10.589633312276462
-3.485869470272898 -1.6288111734326725 -0.6933606200523672 26.417165226243895 0.646789751663797 0.0 0.0 -165.1011876416776 -10.498306516799554
-3.522303714077659 -1.7404820980418076 -0.6934950353129492 22.124556855500487 0.8021588056577922 0.0 0.0 -165.09454247202586 -10.536265998939168
-3.2686120627129807 -2.0091927181860023 -0.7030475458209922 15.764630944561175 0.7711050019174054 0.0 0.0 -164.9950787131276 -10.15786467354328
-3.178783263447701 -1.4986624522811698 -0.6930371037322178 28.277243034860163 0.7496348586913649 0.0 0.0 -164.85332723132203 -10.713914818085566
-3.358204991564288 -1.4463805201809241 -0.6963841425471022 34.79541840071339 0.6670094580521309 0.0 0.0 -164.84458454602645 -10.804561185833332
-3.2949058506891484 -1.6902098540782848 -0.6919372193843052 24.669702028747786 0.8642641074077215 0.0 0.0 -164.78812682058205 -10.719725491217252
-3.548723465045957 -1.5108681295471484 -0.7000953886422658 31.616740940401062 0.7508673729617843 0.0 0.0 -164.787934724733 -10.827187029559493
