   -0.325564381370024414E+01   -0.125496337330333763E+01   -0.706055037290164611E+00    0.492928572100756455E+02   -0.176446940051229376E+03
   -0.326508105936588677E+01   -0.174528475540357242E+01   -0.716644706805834142E+00    0.297676383308376948E+02   -0.176202583566754868E+03
   -0.312154299496760856E+01   -0.217320959977650396E+01   -0.716656517836910645E+00    0.125552250844975415E+02   -0.176164580480720730E+03
   -0.317990478419211087E+01   -0.165848066249711312E+01   -0.685798551378802079E+00    0.220246138688040389E+02   -0.175878827925406540E+03
   -0.349084684935885203E+01   -0.203368486342139843E+01   -0.712931010554525901E+00    0.183458986543258433E+02   -0.175194291538458032E+03
   -0.314666363472897004E+01   -0.123758761089638814E+01   -0.692639051967694153E+00    0.494605320961546866E+02   -0.175144264247031657E+03
   -0.349060970034897444E+01   -0.206172460743033881E+01   -0.707509953305453410E+00    0.165354896024624871E+02   -0.175009997670268689E+03
   -0.346679542214166503E+01   -0.183186781893867767E+01   -0.701918406730491107E+00    0.259005549781253670E+02   -0.174905581232115310E+03
   -0.326353398476609069E+01   -0.198567160873061299E+01   -0.706712045584713122E+00    0.162830807080343014E+02   -0.174668553769578011E+03
   -0.297225950495572988E+01   -0.167796955876910348E+01   -0.689953791237734482E+00    0.230979974862628694E+02   -0.174429498765323842E+03
   -0.348137080415491429E+01   -0.187944508014438449E+01   -0.694570492187122968E+00    0.208816491041647261E+02   -0.174306407648436135E+03
   -0.313812662728106595E+01   -0.185181764872787413E+01   -0.690069499358833438E+00    0.215549709185291007E+02   -0.174121298630550427E+03
   -0.331843014237288436E+01   -0.171954975106844365E+01   -0.718171369146522354E+00    0.297637585990033493E+02   -0.174047910043296753E+03
   -0.353704381225703468E+01   -0.159856237375229426E+01   -0.707418671554442158E+00    0.330821953993393976E+02   -0.174013307111712521E+03
   -0.341354500716685294E+01   -0.182842613151417499E+01   -0.720250050538162156E+00    0.250449566723232273E+02   -0.173942353309738451E+03
   -0.314470150421859529E+01   -0.142493369434620654E+01   -0.685199884196405984E+00    0.319183468338439020E+02   -0.173637258802741854E+03
   -0.306196559643012023E+01   -0.156795217735238879E+01   -0.690317448243158882E+00    0.301277287186963356E+02   -0.173587548309536118E+03
   -0.320177161301492585E+01   -0.184327572372566051E+01   -0.719521869242333967E+00    0.243614406113048680E+02   -0.173402636607204613E+03
   -0.335342779292021653E+01   -0.210866520323479323E+01   -0.715928272996128268E+00    0.160791381612261084E+02   -0.173280173349087477E+03
   -0.341935781349977574E+01   -0.186286303359016125E+01   -0.692280519112255410E+00    0.207528491989492174E+02   -0.173108118925394535E+03
   -0.337454116987586072E+01   -0.186311556148091118E+01   -0.710716178421779254E+00    0.207042415187321964E+02   -0.173053044273489462E+03
   -0.321819943662683006E+01   -0.177608264240026248E+01   -0.688286012155598037E+00    0.237259235674934743E+02   -0.173036216953829097E+03
   -0.340142071551375125E+01   -0.169295480468108739E+01   -0.718203533091730240E+00    0.288217354818218539E+02   -0.173017449749380290E+03
   -0.339896857172880118E+01   -0.194904218175507626E+01   -0.694785496374146883E+00    0.197309579953615817E+02   -0.173013935315767185E+03
   -0.308955892684480027E+01   -0.204962822414848711E+01   -0.706485198022477334E+00    0.150892342527917069E+02   -0.172940721144529505E+03
   -0.313013957703135759E+01   -0.150584409963531263E+01   -0.686909830429080381E+00    0.322271187317023688E+02   -0.172924047967707708E+03
   -0.331448221048077496E+01   -0.193561385614050430E+01   -0.709591813461887710E+00    0.226272897854062407E+02   -0.172751722890768633E+03
   -0.312904554917975553E+01   -0.161371979544348321E+01   -0.704039357036764235E+00    0.314313102136235258E+02   -0.172679765713336110E+03
   -0.304416837234830329E+01   -0.179655761288702731E+01   -0.701542882971009307E+00    0.233977689524895212E+02   -0.172660506221719970E+03
   -0.335455947523810227E+01   -0.195213091704828612E+01   -0.717193874228220452E+00    0.214011736818296825E+02   -0.172623962153043948E+03
   -0.309367601528830427E+01   -0.163312132674656763E+01   -0.708848971857058752E+00    0.296333366305983503E+02   -0.172608606240118604E+03
   -0.335301416951195019E+01   -0.189887117098605618E+01   -0.715580975818137288E+00    0.209399671337476825E+02   -0.172535891572574258E+03
   -0.339848822026071851E+01   -0.192929059170565997E+01   -0.695798716031178488E+00    0.190609248123990156E+02   -0.172479697398448593E+03
