

    0.352746147998747345E-03    0.312037224566629448E+03    0.537508732615116429E+02   -0.208050575771764823E+01   -0.104835379780287519E+01    0.332267380252808664E+00    0.528925431424058345E+02
    0.352581710396594338E-03    0.312036772070720133E+03    0.524056121661506324E+02   -0.208017562434234060E+01   -0.105210506539979676E+01    0.380811374680792458E+00    0.513084580528117229E+02
    0.352346959588869103E-03    0.312036719083468313E+03    0.442461218642930731E+02   -0.236216663115024605E+01   -0.105163254853272115E+01    0.377387475198412925E+00    0.561304971667074071E+02
    0.352276860418150410E-03    0.312035731980045000E+03    0.592997958714272144E+02   -0.213812199750948606E+01   -0.100666103134821627E+01    0.362785448103381980E+00    0.539673267385206543E+02
    0.352147603802378513E-03    0.312035080908557347E+03    0.600141064162035676E+02   -0.214956677783198291E+01   -0.107266149379740150E+01    0.399876461731714983E+00    0.483177383069799546E+02
    0.351927850420515509E-03    0.312034944331997622E+03    0.561028229381871171E+02   -0.210503624670797951E+01   -0.111010410881542887E+01    0.409326046855374825E+00    0.492598203073710081E+02
    0.351764642459945394E-03    0.312034487013650221E+03    0.555699181038367698E+02   -0.221094514351918559E+01   -0.108120547861226024E+01    0.416177853066382886E+00    0.532213384372039116E+02
    0.351786983530558411E-03    0.312032974953300197E+03    0.602680937515073012E+02   -0.215298522253019620E+01   -0.986969666937443257E+00    0.409500042648303086E+00    0.520525883566203476E+02
    0.351598313942797598E-03    0.312032662834899043E+03    0.551920025312349409E+02   -0.211050004582513351E+01   -0.103973486967214712E+01    0.411871946457316840E+00    0.546909589998135957E+02
    0.352444826393554487E-03    0.312026468355913153E+03    0.436402898165357769E+02   -0.236355875518476388E+01   -0.103594944842928438E+01    0.397024539303656332E+00    0.552520903710000297E+02
    0.352547141288551697E-03    0.312024502797701302E+03    0.506199050849398091E+02   -0.212324719849267574E+01   -0.110707608671385271E+01    0.381037630804601513E+00    0.535804487692167513E+02
    0.352618355062877934E-03    0.312022713801192367E+03    0.549123718202857845E+02   -0.217035555628602239E+01   -0.106705901950890381E+01    0.409857748439778458E+00    0.545360838076834682E+02
    0.352720679232778201E-03    0.312020748476029098E+03    0.475593547962332650E+02   -0.226515641939001178E+01   -0.109616976660595711E+01    0.371631978897759396E+00    0.549771724702071936E+02
