log10_Xlan log10_mej log10_vej luminosity_distance em_syserr timeshift Ebv log_likelihood log_prior
-3.647115918315972 -2.654963822781881 -1.5050139104025446 7.41878887725312 0.8250119740565248 0.0 0.0 -179.83048555578821 -9.725019462511389
-3.8379387308130166 -2.294612368924289 -1.7333793223990819 10.6221042339085 0.9300631025079881 0.0 0.0 -179.1627500419656 -10.203795313484797
-3.641753486864947 -2.4792106423275957 -1.7011837440227597 9.262057093435383 0.9602117298408496 0.0 0.0 -178.22503098849555 -10.09868572687461
-3.499410272486249 -2.7063765595252005 -1.66782405392399 6.935040435429558 0.7300524125301692 0.0 0.0 -178.18754790937737 -9.535308956440144
-3.993006742585159 -2.940438546638566 -1.6805833583003582 5.195300185888465 0.7952805675824842 0.0 0.0 -178.1666107964478 -9.332055116598145
-3.883749837493692 -2.634599789105582 -1.5511224051160404 7.804535238493544 0.9279144765386995 0.0 0.0 -178.07150973915026 -9.893250317701085
-3.7557847630077807 -2.383172794166904 -1.695140547056543 10.181669091698947 0.9366364707810136 0.0 0.0 -178.00729299737463 -10.168489933656863
-3.990182620318075 -2.504093854463647 -1.709044815834627 7.821206670154721 0.9725792871314747 0.0 0.0 -177.9135796518345 -9.942396192160242
-3.7597412201412697 -2.987063447591197 -1.601563843479478 5.549868198480154 0.8370501326571272 0.0 0.0 -177.0722399334504 -9.44926388630548
-3.64012935768067 -2.8396812381255856 -1.5366692007130898 5.736674210381699 0.7890226452450362 0.0 0.0 -176.6902825530751 -9.423280400693171
-3.8742550158976847 -2.9052758597561485 -1.6680240426748028 4.876199689662934 0.7895730965255744 0.0 0.0 -176.63706152220337 -9.261464322125162
-4.041905473347041 -2.778230571020777 -1.6966217138643727 6.000331135568642 0.7913934843490718 0.0 0.0 -176.44578231886643 -9.471215695322117
-3.954898252491093 -2.686803965897068 -1.7094515873801164 6.571865117522494 0.6654883393314112 0.0 0.0 -176.38956012645608 -9.388924534677757
-3.7867915860704366 -2.939909913549294 -1.6715793826870964 5.612172457890787 0.7463265164838562 0.0 0.0 -176.3511127376056 -9.345706828578988
-4.119064983419354 -2.5926443672513377 -1.7265217818748717 7.388922240234718 0.8623445591205492 0.0 0.0 -176.33755030765212 -9.765242537892789
-3.746395136024547 -3.108845742152869 -1.6633093439218496 4.31855147181956 0.8265609173547556 0.0 0.0 -176.28833086530742 -9.185799400839345
-3.659656308524477 -2.614349895682193 -1.7104851532563938 8.13827763880842 0.8629400766860731 0.0 0.0 -176.2371091110922 -9.862529560468298
-3.477253729409828 -2.7022205587765447 -1.660376859219315 6.652278200968089 0.883746729218066 0.0 0.0 -176.21402269909913 -9.684735641295026
-3.7225787575664198 -2.9148067504249457 -1.701620996668071 4.838049529842154 0.9811681205086998 0.0 0.0 -176.1703823226813 -9.470861213858951
-3.9258485216801224 -2.434582231333342 -1.7914649323419927 8.566771799996356 0.6635005676927611 0.0 0.0 -176.07158097597417 -9.651026427413242
-3.383102855073097 -2.723569545479603 -1.7620888886715933 5.407229542370238 0.8313942090575378 0.0 0.0 -175.9820207092036 -9.416446666324752
-3.6545578990575684 -2.7187157747013573 -1.6581168575457328 6.505639296739511 0.6325265354891141 0.0 0.0 -175.968132827328 -9.327997300453147
-3.7409508470626145 -2.748369705660431 -1.6430382782039967 5.999357123045493 0.9889466829513954 0.0 0.0 -175.95982612360413 -9.693898479945881
-3.804445081320866 -2.3843244736516382 -1.7548528520116706 10.070715793038966 0.7819249467021672 0.0 0.0 -175.89072799693125 -9.976996288298402
-3.8045017150788976 -3.0495503181433894 -1.5528956774703093 4.80138501543813 0.7785124573192306 0.0 0.0 -175.77680702578905 -9.231895156523542
-3.6605598748430994 -2.7517106669301303 -1.5991302500536024 7.025321820954032 0.7746270721190309 0.0 0.0 -175.73629145219076 -9.607508483764725
-3.8909460368594235 -2.5495410092473563 -1.7569827146903592 7.037299331172875 0.6899784524947487 0.0 0.0 -175.7168867847645 -9.493490590181148
-3.853669614120885 -2.6450632522817115 -1.747257855626341 7.804143847971259 0.8182755910056214 0.0 0.0 -175.71350460515907 -9.7674597858749
-3.3777320097506394 -2.295792912582354 -1.797558574105035 9.498427607301775 0.8541903887734662 0.0 0.0 -175.68353257833334 -10.006886119009229
-3.6191205613522195 -3.0340404701578274 -1.5663011573763532 4.790030475598685 0.9285878188485929 0.0 0.0 -175.6301198505484 -9.405807473988082
-4.002729462684637 -2.3611637817696804 -1.797711192258416 8.89914178325424 0.8702666619823978 0.0 0.0 -175.5823339894809 -9.960360258458296
-3.931853244778127 -2.5442307747706656 -1.712731419012478 8.681485020831134 0.9162948424239352 0.0 0.0 -175.57404381027854 -9.987136535152484
-4.017167980676396 -2.6376173610356655 -1.7115392985809945 7.599594661696229 0.9151888114789216 0.0 0.0 -175.52187661310174 -9.852831049720951
-3.640325517653295 -2.869395309043706 -1.5553016797719992 5.675169243514338 0.7413796918991442 0.0 0.0 -175.51485220399337 -9.3502190268595
-3.640405491000264 -2.4146502414470454 -1.792714402019935 8.702820928897289 0.6373046963462633 0.0 0.0 -175.49611741504796 -9.626500831735287
-3.6953379399125055 -2.728009943595324 -1.7300728162323704 5.516137505004792 0.9055988940201297 0.0 0.0 -175.49480715296428 -9.521880116699219
-3.458643721042476 -2.809730299824861 -1.7432483864187722 6.035329601280174 0.8833552291037231 0.0 0.0 -175.45035063033384 -9.58696362819434
-3.6917240182812003 -2.82304082196802 -1.7330490717376539 5.924931219686287 0.9932319785860882 0.0 0.0 -175.42995593043648 -9.685739071614236
-3.725639028577543 -2.4051918364865874 -1.687952418495916 9.064441662490609 0.8232658580666548 0.0 0.0 -175.41107292887483 -9.923244175982319
-3.5475683238075586 -2.7080491557831645 -1.720956581318377 6.497984115793326 0.6369319046133504 0.0 0.0 -175.37817012693264 -9.333760484996795
-3.6839029939156696 -2.8587764272179217 -1.5967438375633276 5.730179785291711 0.9771406098170902 0.0 0.0 -175.3715911768084 -9.635983210547149
-3.857034728106526 -2.6390683347850916 -1.6937766305713062 6.469762147129884 0.9303083310249629 0.0 0.0 -175.36160606060272 -9.708261157859303
-3.7869641933432696 -2.71921638977858 -1.6913120892292146 6.812732771873323 0.6369045370209157 0.0 0.0 -175.3245913840734 -9.381018851213296
-3.858517354615863 -2.8422173421214794 -1.715248847327204 5.092955253128533 0.8444910640585864 0.0 0.0 -175.27562577702943 -9.372198159267693
-4.093260254626999 -2.6157547272248793 -1.7417094732898772 7.081870519271386 0.8632187387440324 0.0 0.0 -175.22573275487966 -9.723811935125871
-3.5755888043232247 -3.042090169083713 -1.601950436348446 4.487835064401836 0.9162129295962806 0.0 0.0 -175.1152784928582 -9.327224953247784
-3.896858676262938 -2.7761670199546393 -1.7764928558319546 5.676877884697626 0.7007044600860531 0.0 0.0 -175.0505724855089 -9.294093356472848
-3.68102689264735 -2.852714102184737 -1.548342080352282 5.677174425269661 0.8725914032642565 0.0 0.0 -174.90342566794837 -9.513526799903858
