log10_mej_dyn log10_mej_wind KNphi inclination_EM luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-2.113925009777172 -1.4157509378608064 43.935713092827356 1.0709729795697291 34.42858722592812 0.0 1.0 0.0 -157.16227577086258 -11.893207318947981
-2.341322711710015 -1.4766321828323676 31.438820900035616 1.3042918273856836 27.781119789370283 0.0 1.0 0.0 -156.94713562695708 -11.584129803260444
-2.81654151808805 -1.078393153116564 41.22863608667089 0.2009542397460441 55.32804528745932 0.0 1.0 0.0 -155.85014776380842 -13.848529826102602
-2.7155966384821397 -1.3290709660266302 38.78778084195131 0.6563969557684771 43.780793335309724 0.0 1.0 0.0 -155.6343368688546 -12.496887063276075
-2.564524316387015 -1.187565040321247 54.16448181343297 0.2740867974167762 55.611967636498946 0.0 1.0 0.0 -155.11448059612025 -13.549093286912463
-2.135124734051333 -0.966398403473876 65.86178288938419 0.9120860291311721 47.81992020051806 0.0 1.0 0.0 -154.92404950610253 -12.32600716861904
-1.6483956335073982 -1.1914507233257599 50.60871351880276 1.1719870718988272 33.08710448452876 0.0 1.0 0.0 -154.87451452862405 -11.804702350178596
-2.1881553732222008 -1.0987689172922097 42.23071963483309 1.1989812497628665 45.87474772218876 0.0 1.0 0.0 -154.83603921273266 -12.12052432217331
-1.928673082578708 -1.2125671759717935 64.13293404364677 1.099297560479536 35.55781617398648 0.0 1.0 0.0 -154.82381989410143 -11.910528298399667
-2.4604447887260426 -1.16053672851345 42.149057124636286 0.9746827320821793 50.44638538136127 0.0 1.0 0.0 -154.71054533032037 -12.334060821199326
-1.9121749043483267 -1.330945289898268 40.09642667983249 0.8043217744492162 38.94808191750494 0.0 1.0 0.0 -154.66995777046822 -12.214065495638561
-2.00379580015055 -1.0517567152625302 50.91664147881095 1.3928695898489585 39.409742650149404 0.0 1.0 0.0 -154.58996911893976 -11.913758574396205
-2.454247521898882 -1.4241903671168916 34.85740604385039 1.2041438199179904 31.82713396882117 0.0 1.0 0.0 -154.57203562658094 -11.752930883915692
-1.9827811182452886 -1.1485499952135836 49.8721778227239 1.2464180272917331 38.29094063865624 0.0 1.0 0.0 -154.4517025953129 -11.922605663420667
-2.685436810681391 -1.2142411123199888 70.25858972019451 0.24554732934038515 44.92131264168752 0.0 1.0 0.0 -154.31128339032878 -13.443079423778947
-2.744345565579048 -1.1599457020022328 58.25814759211626 0.4273351493418683 44.51354561453886 0.0 1.0 0.0 -154.24277462799526 -12.900435875003458
-1.8492802930733294 -0.9558024722081528 41.68260787855117 1.1340752897946396 49.21587648964438 0.0 1.0 0.0 -153.96049623212303 -12.218606251951819
-2.213199425986652 -1.1390089050755448 48.73461511053187 0.7843296706608849 41.38258356947367 0.0 1.0 0.0 -153.9529741789521 -12.294335651914356
-1.8942145696908979 -1.3932301987442308 55.10427771795192 1.0108044761057267 31.170197822560404 0.0 1.0 0.0 -153.9287007723205 -11.829043088024141
-1.9085435995185729 -1.2186087187004297 47.6319247278333 1.3469369323334222 32.312960489329896 0.0 1.0 0.0 -153.83770480176057 -11.724569354557598
-2.1804750053942277 -1.3403937350931059 50.224736399083184 0.5321676563955223 43.18363251806735 0.0 1.0 0.0 -153.71509056622514 -12.667744727189064
-2.0619524022576696 -1.274269060243343 27.90883729494928 1.2989779688089322 35.55490012591731 0.0 1.0 0.0 -153.70473368843358 -11.832317002940204
-1.8979206558917676 -1.3917862834208767 44.30887592344977 0.9519128318923511 32.48195264302119 0.0 1.0 0.0 -153.6782595643247 -11.909665050308625
